ProductKey,ProductName,SubCategoryKey,FabricKey,SizeKey,SupplierKey,CostPrice,RetailPrice
84,Salwar Suit,3,4,2,4,315.61,2274.96
85,Graphic T-Shirt,9,4,1,4,1699.2,2191.59
86,Winter Hoodie,13,6,1,10,884.69,427.12
87,Wedding Lehenga,6,4,4,9,1545.53,2912.21
88,Salwar Suit,10,4,2,5,984.5,533.51
89,Ethnic Skirt,6,6,2,8,1855.17,4911.32
90,Saree,9,4,5,10,1393.4,786.16
91,Printed Kurta,7,4,2,1,668.28,1905.82
92,Bridal Gown,8,3,4,5,1553.62,4226.85
93,Designer Saree,5,4,1,9,293.75,4778.83
94,Designer Saree,4,6,1,1,1909.3,1317.06
95,Casual Dress,1,2,2,3,1052.41,926.19
96,Graphic T-Shirt,4,6,3,6,502.02,3193.34
97,Kurta,12,2,3,2,1241.63,4672.88
98,Ethnic Skirt,10,4,2,2,1265.78,4220.63
99,Kurta,4,6,3,10,1649.95,4062.65
100,Silk Saree,10,3,5,7,1390.74,717.2
101,Bridal Gown,11,1,4,8,389.97,4819.62
102,Graphic T-Shirt,11,6,2,7,517.05,2800.04
103,Bridal Lehenga,11,5,5,8,1036.77,4198.38
104,Bridal Lehenga,10,3,2,2,702.07,2473.69
105,Graphic T-Shirt,13,5,5,7,805.51,2673.81
106,Kurta Set,6,4,2,6,1636.1,1965.56
107,Casual Dress,15,6,3,9,218.27,4761.09
108,Salwar Suit,2,6,4,8,1199.32,1505.49
109,Casual Shirt,8,4,1,2,729.62,2260.25
110,Wedding Lehenga,4,6,5,6,1051.87,2842.24
111,Jacket,7,3,3,8,687.65,1556.46
112,Anarkali Dress,2,3,1,9,1911.58,3574.75
113,Anarkali Dress,4,6,4,5,1504.25,4892.39
114,Casual Dress,9,3,1,4,733.24,2060.05
115,Saree,5,6,5,3,693.76,4881.76
116,Wedding Lehenga,9,6,2,8,384.66,456.42
117,Casual Shirt,5,4,4,6,531.85,636.33
118,Casual Shirt,14,1,1,7,1085.14,3054.3
119,Silk Saree,11,2,2,10,1908.43,791.83
120,Kurta,4,5,4,10,1273.03,3244.72
121,Denim Jeans,13,4,4,8,735.24,3107.22
122,Wedding Lehenga,7,5,5,1,1297.34,3804.41
123,Anarkali Dress,13,6,2,5,1388.77,1122.46
124,Jacket,3,1,2,1,935.33,3571.11
125,Wedding Lehenga,8,1,2,5,1472.52,3633.74
126,Designer Saree,8,6,2,5,1618.09,3275.27
127,Anarkali Dress,11,4,1,9,604.66,1085.35
128,Printed Kurta,5,1,1,3,1626.73,3137.2
129,Winter Hoodie,14,3,4,2,1043.66,1798.82
130,Bridal Lehenga,7,5,5,8,987.97,3150.97
131,T-Shirt,15,6,3,10,650.66,820.1
132,Winter Hoodie,11,5,1,5,1237.24,3910.3
133,Casual Shirt,3,5,4,5,526.68,3092.52
134,Casual Shirt,11,1,4,6,935.03,1876.87
135,Kurta Set,2,3,4,8,718.79,4747.89
136,Jacket,14,1,4,2,766.13,1887.06
137,Ethnic Skirt,13,5,1,9,1031.56,649.34
138,Dupatta,9,5,4,8,1567.98,1336.37
139,Printed Kurta,9,3,4,8,418.57,4876.48
140,Salwar Suit,10,6,2,5,1191.51,2940.36
141,Salwar Suit,2,1,4,2,1365.88,1108.27
142,Wedding Lehenga,15,5,3,7,1702.5,4909.13
143,Graphic T-Shirt,4,5,2,7,543.1,3157.14
144,Printed Kurta,12,1,3,7,811.78,4023.5
145,Saree,5,3,3,10,1243.86,3435.73
146,Printed Kurta,14,4,5,8,821.22,2938.82
147,Ethnic Skirt,9,4,3,4,1965.39,1498.51
148,Salwar Suit,7,4,1,6,1540.47,3644.05
149,Ethnic Skirt,13,4,2,8,1936.68,980.73
150,Bridal Gown,10,1,4,2,1146.71,2501.87
151,Printed Kurta,12,4,2,2,1045.08,4858.34
152,Casual Dress,6,6,4,2,1733.18,4320.77
153,Jacket,14,4,3,8,1770.29,565.14
154,Salwar Suit,2,6,3,4,1544.18,2396.27
155,Kurta,2,4,2,5,1826.16,611.56
156,Silk Saree,13,3,3,6,975.24,1523.31
157,Winter Hoodie,7,6,2,3,515.12,3203.66
158,Casual Dress,7,6,2,8,1843.09,1058.34
159,Bridal Lehenga,8,4,3,1,1818.04,2540.16
160,Jacket,5,2,1,8,1901.42,4943.2
161,T-Shirt,5,6,3,8,1721.55,1316.4
162,Casual Shirt,7,1,2,7,1229.46,3044.13
163,Wedding Lehenga,12,1,4,5,214.58,4379.31
164,Silk Saree,13,5,4,5,1596.33,1458.54
165,Dupatta,13,2,2,10,651.13,3875.66
166,Printed Kurta,13,6,1,1,756.08,2427.79
167,Dupatta,10,6,2,2,1837.33,1902.91
168,Kurta Set,7,2,2,9,1777.63,2082.94
169,Bridal Lehenga,9,2,3,8,1941.29,1757.65
170,Bridal Gown,14,1,4,2,453.36,4845.9
171,Ethnic Skirt,14,5,3,2,1623.23,464.03
172,Kurta,9,4,3,5,1252.21,4183.12
173,Kurta,6,6,2,8,245.04,4467.48
174,Bridal Gown,9,5,2,2,1343.73,2535.63
175,Wedding Lehenga,12,6,4,2,451.6,4752.8
176,Casual Shirt,5,1,1,4,1797.07,1024.05
177,Dupatta,8,6,5,7,1257.21,3742.36
178,T-Shirt,15,6,1,8,1308.17,4719.64
179,Silk Saree,5,6,3,4,998.09,4772.55
180,Dupatta,14,1,3,9,1823.05,3366.2
181,Ethnic Skirt,1,3,2,2,1908.22,4191.28
182,Anarkali Dress,2,6,5,1,291.04,1934.14
183,Winter Hoodie,3,2,1,9,572.88,1393.38
184,Salwar Suit,14,3,2,10,205.1,4348.67
185,Printed Kurta,3,5,3,3,397.87,4385.66
186,Saree,3,3,2,10,782.79,1201.53
187,Printed Kurta,1,6,4,9,404.57,692.37
188,Dupatta,8,5,5,2,1013.61,1419.13
189,Silk Saree,10,6,5,5,1024.48,4834.52
190,Casual Shirt,1,4,4,2,1082.48,4584.62
191,Designer Saree,2,3,5,3,318.23,1665.07
192,Winter Hoodie,11,5,3,7,1990.33,2840.56
193,Denim Jeans,8,5,4,2,1627.57,926.3
194,Jacket,11,6,2,7,1012.8,1451.07
195,Graphic T-Shirt,6,4,4,2,762.59,1837.61
196,Dupatta,5,2,4,2,364.2,792.68
197,Kurta,7,6,3,3,1201.47,3097.74
198,Jacket,9,3,1,7,836.48,3460.57
199,T-Shirt,13,6,1,5,1280.74,2017.57
200,Denim Jeans,10,2,2,8,603.64,897.8
201,Jacket,14,3,1,5,1233.38,4113.22
202,Jacket,14,5,5,9,247.26,4673.79
203,Bridal Lehenga,14,1,2,5,1464.86,1821.33
204,Dupatta,6,1,2,3,1219.38,2243.61
205,Saree,3,1,5,4,877.15,2486.77
206,Dupatta,3,3,3,10,1273.2,4463.37
207,Kurta Set,3,5,1,2,689.79,3444.92
208,Casual Dress,8,4,4,5,588.02,2756.79
209,T-Shirt,6,1,3,10,1075.94,3468.81
210,Salwar Suit,1,4,5,1,213.84,1786.53
211,Printed Kurta,4,3,3,6,415.97,2687.97
212,Kurta Set,7,2,4,9,1466.61,2701.21
213,Dupatta,14,1,4,1,985.2,2514.87
214,Bridal Gown,2,5,4,10,927.96,3344.65
215,Kurta,5,4,1,6,509.37,4759.03
216,Dupatta,8,1,4,2,637.97,3108.81
217,Designer Saree,9,4,3,6,598.83,3983.94
218,Denim Jeans,2,6,1,9,1117.91,4567.24
219,Dupatta,6,6,2,4,385.05,1577.45
220,Casual Dress,3,2,1,3,1912.33,3288.56
221,Winter Hoodie,8,5,4,10,1357.39,4938.05
222,Bridal Gown,6,2,4,2,1044.06,3304.37
223,Bridal Lehenga,13,5,1,6,1113.21,1827.88
224,Silk Saree,8,1,3,5,338.12,4375.55
225,Designer Saree,14,5,5,9,892.07,3069.52
226,Silk Saree,13,4,5,4,778.75,2587.89
227,Silk Saree,3,4,1,6,1968.29,787.91
228,Kurta Set,11,1,2,8,1983.77,2810.72
229,Kurta Set,10,3,3,5,897.35,3962.54
230,Casual Dress,11,1,3,2,793.44,2966.63
231,Wedding Lehenga,7,3,5,3,800.05,3080.6
232,Dupatta,3,3,4,3,1271.07,4714.81
233,Jacket,5,4,3,3,1406.21,4213.21
234,Denim Jeans,12,1,4,9,851.29,2067.95
235,Anarkali Dress,3,3,4,4,607.78,1032.8
236,Wedding Lehenga,2,1,5,9,1703.22,4464.94
237,Bridal Gown,1,5,2,10,878.1,1146.34
238,Casual Dress,14,2,4,1,939.55,3511.27
239,Graphic T-Shirt,4,5,3,8,621.21,1500.18
240,Casual Shirt,13,2,3,10,1971.99,2523.73
241,Ethnic Skirt,5,5,5,7,1939.28,4157.7
242,Casual Dress,13,2,3,1,1354.12,4420.94
243,Kurta,9,6,5,2,713.11,3910.34
244,Graphic T-Shirt,5,5,2,7,365.08,4588.32
245,Graphic T-Shirt,14,3,1,7,295.86,2709.23
246,Ethnic Skirt,4,1,3,4,250.74,4681.8
247,Bridal Gown,14,2,2,1,716.38,4216.9
248,Printed Kurta,12,6,4,8,1307.63,4566.94
249,Bridal Lehenga,1,2,2,9,1892.41,3200.85
250,Kurta,7,3,2,5,419.33,1496.82
251,Casual Dress,11,4,1,2,1706.04,2699.21
252,Saree,9,6,5,10,635.49,1060.45
253,Saree,7,5,3,4,1227.19,1261.64
254,Designer Saree,11,5,3,2,1916.13,2902.78
255,Denim Jeans,13,5,1,7,1772.0,600.26
256,Dupatta,7,3,1,6,1619.34,1986.09
257,Kurta,12,5,3,3,279.8,2911.66
258,Kurta Set,14,6,4,8,1337.12,4132.89
259,Graphic T-Shirt,2,1,3,4,278.85,1317.56
260,Bridal Gown,1,3,5,7,1980.42,2897.94
261,Silk Saree,5,6,2,5,842.55,3991.87
262,Bridal Gown,14,3,1,6,986.51,2240.1
263,Ethnic Skirt,8,3,2,8,1445.72,2089.8
264,Denim Jeans,13,3,1,7,342.07,3171.29
265,Kurta Set,14,5,3,6,384.68,1908.43
266,Wedding Lehenga,5,4,5,7,499.96,2441.98
267,Silk Saree,8,6,3,10,1996.67,1662.95
268,Silk Saree,13,1,4,6,1123.55,3849.53
269,Saree,3,2,5,8,262.64,709.27
270,Dupatta,13,3,4,10,258.29,1105.82
271,Dupatta,8,3,4,2,1233.06,2835.52
272,Bridal Gown,7,6,3,4,1928.94,519.2
273,Casual Shirt,3,5,4,9,411.97,3964.84
274,Graphic T-Shirt,12,2,5,5,1449.17,4993.69
275,Kurta,4,2,1,8,510.78,3681.5
276,Bridal Gown,2,6,3,2,1189.99,1735.67
277,Kurta Set,5,6,2,6,1115.76,958.27
278,Printed Kurta,4,2,4,1,849.61,3032.48
279,Jacket,8,2,5,2,318.35,2231.54
280,Casual Shirt,12,5,4,7,1682.01,739.25
281,Designer Saree,6,4,4,9,820.13,4438.62
282,Jacket,13,6,5,3,1582.01,993.55
283,Silk Saree,9,1,5,3,747.42,1145.05
284,Salwar Suit,15,3,5,5,1722.68,1552.78
285,Jacket,11,3,2,5,1305.97,829.77
286,Kurta Set,11,5,5,3,508.16,3272.6
287,Casual Dress,15,3,5,1,1685.43,530.52
288,Winter Hoodie,1,3,2,10,949.86,3339.36
289,Jacket,8,3,3,8,640.78,4113.81
290,Wedding Lehenga,7,4,1,1,484.54,2311.86
291,Anarkali Dress,8,3,5,3,762.65,3704.47
292,Dupatta,12,4,2,6,1126.96,888.45
293,Graphic T-Shirt,4,1,3,8,646.25,845.33
294,Ethnic Skirt,5,5,4,4,1932.83,4550.63
295,Bridal Gown,14,5,3,4,1573.62,2692.02
296,Graphic T-Shirt,9,4,3,8,241.72,4748.07
297,Graphic T-Shirt,9,2,2,10,835.21,632.49
298,Casual Dress,8,6,4,5,1166.04,4296.99
299,Printed Kurta,7,3,3,7,858.69,2242.68
300,Jacket,10,2,3,9,719.48,2177.2
