ShipmentKey,OrderKey,Courier,ShipmentStatus,DeliveryDays
111,23500,Delhivery,Out for Delivery,5
112,25262,BlueDart,Packed,4
113,22328,BlueDart,Shipped,6
114,23092,Ekart,Processing,7
115,23771,DTDC,Packed,3
116,25243,Delhivery,Delivered,4
117,25751,Ekart,Delivered,4
118,23144,BlueDart,Shipped,5
119,23517,Delhivery,Shipped,4
120,24192,Ekart,Packed,1
121,23637,Delhivery,Packed,5
122,22770,Delhivery,Out for Delivery,2
123,21310,Ekart,Delivered,7
124,21992,DTDC,Shipped,5
125,24479,BlueDart,Processing,5
126,24702,BlueDart,Shipped,5
127,23278,BlueDart,Delivered,1
128,23571,BlueDart,Shipped,4
129,23929,BlueDart,Delivered,4
130,24932,Delhivery,Out for Delivery,1
131,25106,Delhivery,Processing,3
132,20606,BlueDart,Processing,5
133,25938,BlueDart,Shipped,6
134,24913,BlueDart,Packed,6
135,23338,Delhivery,Packed,2
136,23893,DTDC,Processing,3
137,21529,BlueDart,Processing,3
138,22632,Delhivery,Out for Delivery,3
139,25738,Delhivery,Packed,3
140,22281,Ekart,Out for Delivery,2
141,22148,Delhivery,Delivered,1
142,23514,Ekart,Processing,7
143,21584,Ekart,Shipped,1
144,24647,DTDC,Out for Delivery,7
145,20518,DTDC,Out for Delivery,6
146,20536,BlueDart,Shipped,5
147,24410,Delhivery,Delivered,5
148,25976,Delhivery,Out for Delivery,4
149,24516,BlueDart,Processing,3
150,20653,DTDC,Shipped,4
151,24236,Delhivery,Packed,7
152,22675,BlueDart,Out for Delivery,6
153,23085,Ekart,Delivered,4
154,25051,BlueDart,Delivered,4
155,25706,DTDC,Shipped,5
156,23123,Ekart,Processing,3
157,22788,Ekart,Shipped,7
158,25406,Delhivery,Processing,1
159,25028,BlueDart,Delivered,6
160,21480,Delhivery,Out for Delivery,3
161,22019,DTDC,Processing,3
162,20929,Delhivery,Out for Delivery,1
163,23461,Delhivery,Packed,7
164,24883,DTDC,Packed,4
165,22576,BlueDart,Out for Delivery,6
166,25306,BlueDart,Processing,5
167,24746,Ekart,Shipped,3
168,24912,Delhivery,Out for Delivery,4
169,20063,Delhivery,Processing,5
170,25375,Ekart,Packed,3
171,24345,Ekart,Packed,1
172,22403,DTDC,Out for Delivery,6
173,22245,DTDC,Out for Delivery,4
174,23363,Delhivery,Shipped,7
175,23571,Ekart,Packed,1
176,22546,Ekart,Out for Delivery,7
177,22984,DTDC,Out for Delivery,3
178,24404,Delhivery,Delivered,4
179,22528,Ekart,Packed,2
180,24149,Delhivery,Out for Delivery,2
181,21987,Ekart,Shipped,7
182,23314,DTDC,Packed,7
183,25190,BlueDart,Out for Delivery,3
184,25740,Ekart,Processing,1
185,23249,Ekart,Delivered,5
186,22843,BlueDart,Processing,1
187,25692,DTDC,Packed,7
188,21530,Delhivery,Packed,2
189,22410,BlueDart,Out for Delivery,4
190,23919,DTDC,Shipped,4
191,21101,Ekart,Delivered,1
192,23197,Delhivery,Processing,1
193,21449,Ekart,Processing,1
194,23052,Ekart,Delivered,7
195,24236,DTDC,Processing,1
196,24398,Delhivery,Processing,4
197,24824,DTDC,Out for Delivery,6
198,24052,BlueDart,Packed,7
199,20649,BlueDart,Delivered,5
200,22936,DTDC,Processing,7
201,22239,DTDC,Packed,6
202,23347,Ekart,Packed,6
203,23482,Delhivery,Packed,6
204,20909,BlueDart,Processing,2
205,24332,Ekart,Packed,6
206,23922,Ekart,Packed,4
207,22833,DTDC,Delivered,1
208,23779,Ekart,Packed,3
209,22169,BlueDart,Shipped,2
210,21011,BlueDart,Delivered,3
211,22075,Ekart,Shipped,1
212,20258,DTDC,Shipped,3
213,25348,Ekart,Shipped,6
214,23828,Ekart,Packed,7
215,21613,Delhivery,Processing,2
216,21586,BlueDart,Out for Delivery,3
217,24402,DTDC,Delivered,6
218,20696,DTDC,Out for Delivery,7
219,23262,BlueDart,Packed,6
220,22405,BlueDart,Out for Delivery,2
221,20252,BlueDart,Delivered,5
222,23109,BlueDart,Processing,4
223,22897,Delhivery,Delivered,1
224,20552,DTDC,Packed,7
225,20342,Ekart,Shipped,6
226,25205,BlueDart,Processing,4
227,24988,BlueDart,Shipped,6
228,24468,BlueDart,Shipped,5
229,21880,Ekart,Packed,3
230,20097,Delhivery,Processing,5
231,20567,DTDC,Out for Delivery,4
232,24139,Ekart,Delivered,1
233,23482,Ekart,Packed,3
234,22082,Ekart,Shipped,3
235,22146,DTDC,Processing,7
236,24356,BlueDart,Delivered,3
237,25640,Delhivery,Out for Delivery,5
238,25076,BlueDart,Out for Delivery,6
239,24526,Delhivery,Processing,6
240,25622,Ekart,Packed,6
241,24881,Delhivery,Packed,5
242,23740,Ekart,Delivered,6
243,23163,DTDC,Delivered,5
244,24215,BlueDart,Delivered,1
245,22508,Ekart,Out for Delivery,5
246,25760,BlueDart,Out for Delivery,1
247,22247,DTDC,Packed,3
248,23088,BlueDart,Processing,7
249,20734,DTDC,Shipped,2
250,22194,BlueDart,Packed,7
251,24561,BlueDart,Delivered,4
252,21334,BlueDart,Packed,5
253,20846,BlueDart,Processing,6
254,25403,DTDC,Processing,4
255,21288,BlueDart,Packed,5
256,24217,Delhivery,Delivered,5
257,21738,BlueDart,Packed,1
258,20367,Delhivery,Processing,2
259,21885,BlueDart,Processing,1
260,20517,DTDC,Out for Delivery,4
261,23109,Delhivery,Processing,1
262,24161,DTDC,Out for Delivery,1
263,20092,Delhivery,Shipped,2
264,23053,DTDC,Processing,3
265,20506,BlueDart,Delivered,3
266,22616,BlueDart,Processing,5
267,24181,Delhivery,Out for Delivery,3
268,23450,BlueDart,Packed,3
269,22535,DTDC,Delivered,3
270,25541,Delhivery,Processing,1
271,21627,Delhivery,Out for Delivery,7
272,23312,BlueDart,Processing,3
273,22286,Ekart,Delivered,4
274,23585,Delhivery,Shipped,1
275,25645,Delhivery,Out for Delivery,4
276,25476,DTDC,Out for Delivery,3
277,20754,Delhivery,Processing,6
278,23220,Ekart,Shipped,7
279,20709,Delhivery,Packed,3
280,20013,DTDC,Delivered,3
281,20824,DTDC,Delivered,7
282,24846,Ekart,Delivered,4
283,20344,Delhivery,Shipped,7
284,24602,BlueDart,Out for Delivery,4
285,24492,BlueDart,Shipped,5
286,21154,DTDC,Delivered,6
287,24649,DTDC,Packed,4
288,24972,DTDC,Processing,5
289,21918,DTDC,Delivered,5
290,24261,Delhivery,Out for Delivery,5
291,25588,DTDC,Delivered,1
292,22983,Delhivery,Shipped,7
293,24845,DTDC,Packed,3
294,23716,Delhivery,Delivered,4
295,23089,Delhivery,Delivered,2
296,21037,Delhivery,Processing,2
297,23536,Ekart,Out for Delivery,7
298,25170,BlueDart,Out for Delivery,1
299,22480,Delhivery,Delivered,7
300,20048,Ekart,Packed,1
301,23777,Ekart,Shipped,5
302,22576,Delhivery,Out for Delivery,4
303,23744,Ekart,Processing,6
304,21131,DTDC,Shipped,4
305,24933,BlueDart,Processing,1
306,24439,BlueDart,Shipped,1
307,24986,DTDC,Packed,4
308,22182,BlueDart,Packed,2
309,24942,DTDC,Shipped,5
310,24814,Delhivery,Out for Delivery,1
311,25793,Ekart,Shipped,3
312,21081,Delhivery,Delivered,3
313,25579,Ekart,Shipped,4
314,20372,Ekart,Out for Delivery,7
315,24144,BlueDart,Processing,7
316,24735,BlueDart,Packed,7
317,23008,DTDC,Processing,6
318,24707,Delhivery,Processing,1
319,25179,DTDC,Packed,6
320,22804,DTDC,Shipped,1
321,23764,BlueDart,Packed,7
322,21115,Ekart,Out for Delivery,2
323,24122,BlueDart,Delivered,5
324,22688,Ekart,Processing,1
325,20729,DTDC,Delivered,6
326,24233,BlueDart,Packed,6
327,22145,DTDC,Packed,1
328,21117,DTDC,Processing,4
329,24443,Ekart,Processing,4
330,20540,Delhivery,Shipped,5
331,25256,Delhivery,Processing,1
332,24706,Ekart,Processing,5
333,21459,DTDC,Processing,7
334,25382,Delhivery,Shipped,2
335,23502,Delhivery,Processing,6
336,22972,BlueDart,Out for Delivery,1
337,24666,BlueDart,Packed,1
338,20269,DTDC,Processing,7
339,23525,Ekart,Processing,1
340,23964,Ekart,Processing,5
341,24703,Ekart,Delivered,6
342,22681,Ekart,Packed,7
343,25291,BlueDart,Delivered,5
344,23837,DTDC,Delivered,5
345,24695,BlueDart,Out for Delivery,3
346,21078,Ekart,Shipped,4
347,20947,DTDC,Processing,5
348,25907,BlueDart,Out for Delivery,2
349,22547,Delhivery,Packed,7
350,25943,Delhivery,Processing,3
351,22723,Delhivery,Packed,3
352,24600,DTDC,Packed,6
353,21501,Delhivery,Out for Delivery,3
354,21748,Ekart,Out for Delivery,3
355,24293,BlueDart,Shipped,7
356,21241,DTDC,Delivered,1
357,23323,Ekart,Delivered,4
358,20319,DTDC,Out for Delivery,2
359,24820,BlueDart,Shipped,3
360,24440,BlueDart,Delivered,3
361,21449,Ekart,Packed,4
362,25167,Ekart,Out for Delivery,2
363,24426,Delhivery,Shipped,3
364,20435,DTDC,Out for Delivery,3
365,25773,Delhivery,Out for Delivery,3
366,23679,Ekart,Shipped,1
367,22984,DTDC,Packed,2
368,24625,BlueDart,Processing,5
369,20279,Ekart,Shipped,1
370,20349,DTDC,Shipped,6
371,20226,Delhivery,Packed,1
372,20683,Delhivery,Out for Delivery,7
373,24158,DTDC,Processing,5
374,25626,Delhivery,Packed,3
375,22417,DTDC,Out for Delivery,1
376,25626,BlueDart,Packed,6
377,20195,DTDC,Delivered,3
378,21916,Ekart,Shipped,6
379,20682,BlueDart,Processing,1
380,25463,BlueDart,Packed,4
381,22571,Ekart,Processing,1
382,21294,DTDC,Processing,1
383,22618,Delhivery,Shipped,2
384,25894,BlueDart,Shipped,7
385,25364,Ekart,Out for Delivery,6
386,25060,Ekart,Processing,4
387,22315,Delhivery,Out for Delivery,1
388,23629,BlueDart,Packed,4
389,24874,Delhivery,Shipped,6
390,24833,Ekart,Processing,2
391,25460,Delhivery,Processing,1
392,23217,Ekart,Delivered,2
393,22491,Delhivery,Packed,6
394,24743,Delhivery,Processing,3
395,22853,BlueDart,Processing,2
396,23510,Delhivery,Delivered,5
397,25724,Ekart,Processing,1
398,24447,Ekart,Delivered,1
399,21814,Ekart,Delivered,5
400,21428,Ekart,Shipped,7
401,21996,Ekart,Delivered,3
402,21201,Delhivery,Shipped,4
403,20579,Delhivery,Processing,4
404,23989,Delhivery,Processing,4
405,24680,DTDC,Delivered,1
406,20604,DTDC,Out for Delivery,4
407,22153,Delhivery,Packed,4
408,24104,Ekart,Packed,6
409,21785,BlueDart,Delivered,7
410,22368,Ekart,Delivered,6
411,23072,BlueDart,Processing,1
412,23217,DTDC,Out for Delivery,4
413,21288,Ekart,Shipped,1
414,21786,BlueDart,Shipped,7
415,20091,Delhivery,Out for Delivery,2
416,23109,Ekart,Shipped,2
417,23205,BlueDart,Shipped,1
418,23764,Ekart,Packed,5
419,20501,BlueDart,Delivered,6
420,21225,BlueDart,Packed,3
421,22712,Delhivery,Processing,1
422,20262,Delhivery,Out for Delivery,7
423,25545,Delhivery,Shipped,2
424,20047,DTDC,Delivered,3
425,21991,Delhivery,Packed,1
426,20725,DTDC,Out for Delivery,4
427,21802,BlueDart,Delivered,1
428,22307,Ekart,Out for Delivery,3
429,24609,DTDC,Shipped,7
430,24634,BlueDart,Processing,2
431,24862,DTDC,Shipped,2
432,23238,Delhivery,Packed,7
433,21969,DTDC,Packed,7
434,20070,BlueDart,Out for Delivery,3
435,22898,BlueDart,Processing,3
436,23785,DTDC,Processing,6
437,24882,BlueDart,Processing,4
438,20939,Delhivery,Shipped,7
439,21328,BlueDart,Delivered,1
440,21483,BlueDart,Out for Delivery,6
441,21379,Delhivery,Delivered,6
442,25409,BlueDart,Processing,3
443,24297,Delhivery,Delivered,5
444,24005,Delhivery,Shipped,5
445,20774,DTDC,Processing,7
446,20919,DTDC,Packed,5
447,23043,Ekart,Delivered,5
448,20669,Ekart,Delivered,6
449,23800,DTDC,Packed,6
450,25659,Delhivery,Out for Delivery,5
451,24234,Delhivery,Processing,7
452,22783,BlueDart,Out for Delivery,5
453,25730,BlueDart,Processing,5
454,23076,BlueDart,Delivered,5
455,23929,BlueDart,Delivered,3
456,22718,Ekart,Processing,6
457,20787,BlueDart,Packed,6
458,23906,BlueDart,Processing,1
459,21456,BlueDart,Delivered,3
460,24397,BlueDart,Packed,2
461,25428,BlueDart,Processing,3
462,20727,Ekart,Shipped,4
463,22284,BlueDart,Packed,6
464,24300,Delhivery,Processing,4
465,22949,BlueDart,Processing,6
466,21037,Delhivery,Packed,1
467,25195,BlueDart,Processing,3
468,25853,BlueDart,Packed,7
469,21075,BlueDart,Out for Delivery,4
470,22943,BlueDart,Processing,2
471,23056,BlueDart,Processing,7
472,21071,Delhivery,Out for Delivery,3
473,20386,DTDC,Shipped,4
474,21615,Delhivery,Processing,3
475,25860,BlueDart,Out for Delivery,4
476,23766,Ekart,Out for Delivery,5
477,20787,BlueDart,Packed,7
478,20582,Delhivery,Packed,5
479,20735,DTDC,Processing,4
480,22446,DTDC,Delivered,1
481,21304,BlueDart,Processing,7
482,20239,Ekart,Packed,7
483,24434,Ekart,Processing,5
484,23172,DTDC,Packed,2
485,24649,Delhivery,Packed,1
486,23439,DTDC,Processing,5
487,20458,Ekart,Out for Delivery,5
488,23020,DTDC,Out for Delivery,4
489,20333,DTDC,Packed,6
490,23228,BlueDart,Processing,5
491,24196,DTDC,Shipped,3
492,20496,Ekart,Delivered,3
493,22087,Ekart,Processing,4
494,23535,DTDC,Packed,6
495,22509,BlueDart,Packed,5
496,23415,Ekart,Processing,3
497,25303,DTDC,Packed,4
498,21555,BlueDart,Packed,4
499,21104,DTDC,Processing,1
500,22421,BlueDart,Shipped,2
501,23367,BlueDart,Shipped,6
502,24545,Ekart,Shipped,6
503,21240,Delhivery,Delivered,7
504,24205,Delhivery,Delivered,6
505,24039,Delhivery,Delivered,4
506,21209,BlueDart,Shipped,7
507,25827,Delhivery,Delivered,5
508,25593,DTDC,Shipped,2
509,21647,Ekart,Packed,2
510,25900,Ekart,Out for Delivery,2
511,22996,Delhivery,Shipped,5
512,21933,BlueDart,Packed,3
513,21658,Delhivery,Packed,1
514,20645,Ekart,Delivered,4
515,23324,Delhivery,Shipped,6
516,22188,Ekart,Out for Delivery,7
517,25962,DTDC,Delivered,6
518,22201,DTDC,Shipped,7
519,23716,DTDC,Delivered,6
520,25903,Ekart,Shipped,2
521,22954,BlueDart,Out for Delivery,3
522,24623,DTDC,Shipped,4
523,23168,DTDC,Processing,4
524,21710,Ekart,Packed,1
525,21451,Ekart,Shipped,3
526,20182,Delhivery,Delivered,3
527,25066,Ekart,Delivered,1
528,22800,BlueDart,Out for Delivery,5
529,21169,Ekart,Shipped,5
530,23124,DTDC,Shipped,7
531,23660,BlueDart,Processing,7
532,21963,Delhivery,Out for Delivery,7
533,22263,BlueDart,Packed,3
534,25877,Delhivery,Shipped,2
535,23153,Delhivery,Shipped,1
536,25470,Ekart,Delivered,5
537,21601,BlueDart,Packed,4
538,20954,Ekart,Shipped,3
539,21749,Delhivery,Out for Delivery,5
540,23381,BlueDart,Out for Delivery,2
541,20855,Delhivery,Processing,5
542,25289,Delhivery,Out for Delivery,5
543,22919,BlueDart,Packed,1
544,20651,Ekart,Delivered,4
545,20757,Ekart,Shipped,2
546,21714,Ekart,Shipped,6
547,21444,DTDC,Delivered,7
548,23774,Ekart,Shipped,7
549,25573,DTDC,Processing,1
550,24074,BlueDart,Packed,7
551,25310,Delhivery,Delivered,4
552,22798,BlueDart,Packed,4
553,23792,DTDC,Packed,5
554,23523,DTDC,Shipped,4
555,21543,BlueDart,Out for Delivery,1
556,20914,Ekart,Processing,6
557,20383,Ekart,Packed,7
558,23599,Delhivery,Processing,3
559,22667,Delhivery,Processing,1
560,21246,DTDC,Packed,6
561,21049,Delhivery,Shipped,2
562,22620,DTDC,Packed,1
563,23486,Delhivery,Delivered,3
564,21858,Delhivery,Packed,7
565,23261,Delhivery,Out for Delivery,2
566,20288,BlueDart,Processing,2
567,23098,Ekart,Shipped,6
568,21263,DTDC,Packed,6
569,20220,BlueDart,Delivered,6
570,25171,DTDC,Packed,3
571,21048,Ekart,Delivered,3
572,25401,BlueDart,Packed,2
573,21385,BlueDart,Out for Delivery,2
574,25729,BlueDart,Delivered,5
575,24981,BlueDart,Processing,3
576,22979,DTDC,Packed,7
577,22901,BlueDart,Packed,2
578,23468,DTDC,Processing,5
579,22868,Delhivery,Out for Delivery,4
580,20751,Delhivery,Delivered,4
581,20374,BlueDart,Out for Delivery,5
582,24079,Delhivery,Delivered,7
583,21298,BlueDart,Out for Delivery,1
584,20809,Delhivery,Out for Delivery,1
585,21278,DTDC,Processing,3
586,25283,BlueDart,Delivered,6
587,24590,BlueDart,Processing,7
588,24039,DTDC,Shipped,5
589,22116,DTDC,Out for Delivery,2
590,22657,DTDC,Shipped,2
591,21190,BlueDart,Packed,6
592,21252,BlueDart,Packed,6
593,24165,Delhivery,Processing,7
594,24977,Ekart,Shipped,2
595,22836,BlueDart,Packed,2
596,22898,DTDC,Processing,4
597,21500,Ekart,Packed,3
598,25375,Delhivery,Out for Delivery,2
599,25206,DTDC,Packed,1
600,25307,Delhivery,Delivered,1
601,22225,DTDC,Out for Delivery,3
602,20857,BlueDart,Processing,4
603,25481,Ekart,Packed,7
604,24579,Ekart,Processing,6
605,24602,Ekart,Packed,1
606,25407,Delhivery,Packed,7
607,23157,BlueDart,Out for Delivery,6
608,20470,Ekart,Out for Delivery,2
609,24677,DTDC,Shipped,4
610,20519,Ekart,Shipped,7
611,23901,Delhivery,Shipped,3
612,22060,Delhivery,Packed,6
613,25405,Delhivery,Shipped,1
614,23508,Ekart,Processing,1
615,24639,Ekart,Shipped,4
616,22226,Delhivery,Delivered,6
617,20749,DTDC,Delivered,2
618,24841,Ekart,Out for Delivery,5
619,24069,Ekart,Packed,1
620,23909,Delhivery,Packed,1
621,22078,BlueDart,Out for Delivery,2
622,25462,Delhivery,Processing,5
623,25342,DTDC,Processing,2
624,25972,Delhivery,Packed,3
625,20601,BlueDart,Delivered,2
626,25870,DTDC,Delivered,4
627,23791,DTDC,Out for Delivery,1
628,24640,DTDC,Packed,1
629,21352,DTDC,Out for Delivery,4
630,21896,Delhivery,Delivered,7
631,21519,BlueDart,Out for Delivery,6
632,23190,Delhivery,Out for Delivery,3
633,25698,DTDC,Delivered,4
634,22887,BlueDart,Packed,6
635,25612,Ekart,Packed,1
636,24937,Delhivery,Out for Delivery,3
637,22530,BlueDart,Processing,5
638,25506,Ekart,Packed,2
639,21022,BlueDart,Processing,2
640,20992,Delhivery,Shipped,7
641,20193,Ekart,Out for Delivery,7
642,23098,Ekart,Shipped,5
643,25244,DTDC,Shipped,4
644,20057,Delhivery,Processing,2
645,23448,DTDC,Out for Delivery,3
646,22533,DTDC,Out for Delivery,4
647,22440,DTDC,Delivered,4
648,22536,Delhivery,Out for Delivery,7
649,21650,DTDC,Shipped,4
650,25658,Delhivery,Shipped,7
651,22709,Delhivery,Processing,4
652,22002,Ekart,Shipped,6
653,21808,DTDC,Packed,1
654,24824,DTDC,Shipped,5
655,23495,BlueDart,Out for Delivery,4
656,20648,Delhivery,Delivered,6
657,22934,BlueDart,Delivered,6
658,23115,BlueDart,Shipped,2
659,20406,Ekart,Delivered,4
660,25891,Delhivery,Packed,3
661,22866,Delhivery,Packed,5
662,21320,DTDC,Out for Delivery,6
663,21691,DTDC,Shipped,2
664,20642,Ekart,Delivered,3
665,24297,Ekart,Delivered,4
666,22857,Ekart,Out for Delivery,6
667,23561,BlueDart,Shipped,3
668,22145,Ekart,Packed,3
669,25809,Ekart,Processing,7
670,22502,Delhivery,Out for Delivery,5
671,24944,BlueDart,Delivered,2
672,25781,Ekart,Shipped,5
673,23694,Ekart,Packed,5
674,22209,DTDC,Shipped,1
675,24308,BlueDart,Packed,2
676,20392,Ekart,Delivered,4
677,21052,DTDC,Packed,5
678,25481,Ekart,Processing,2
679,21292,Delhivery,Processing,7
680,24678,DTDC,Packed,1
681,25663,BlueDart,Processing,7
682,23922,Delhivery,Out for Delivery,3
683,22469,Ekart,Packed,3
684,25164,DTDC,Shipped,3
685,23872,BlueDart,Packed,1
686,22003,Delhivery,Processing,3
687,22279,DTDC,Shipped,4
688,20526,BlueDart,Delivered,2
689,24642,Delhivery,Processing,2
690,22915,Delhivery,Packed,7
691,20941,BlueDart,Out for Delivery,3
692,23224,Ekart,Delivered,6
693,24874,DTDC,Packed,3
694,24771,Ekart,Out for Delivery,1
695,24550,DTDC,Processing,5
696,24993,BlueDart,Processing,3
697,25783,Ekart,Delivered,3
698,21550,Ekart,Shipped,4
699,23178,BlueDart,Processing,1
700,21826,Ekart,Processing,2
701,22430,BlueDart,Packed,7
702,23338,BlueDart,Packed,1
703,22038,BlueDart,Shipped,4
704,22399,BlueDart,Shipped,4
705,21704,Delhivery,Processing,3
706,21901,DTDC,Delivered,4
707,24133,DTDC,Delivered,7
708,20230,Delhivery,Delivered,7
709,25335,Ekart,Packed,5
710,22299,DTDC,Delivered,1
711,21254,Delhivery,Out for Delivery,4
712,22344,Delhivery,Out for Delivery,3
713,21543,Delhivery,Shipped,2
714,22610,Delhivery,Packed,2
715,24396,Ekart,Processing,2
716,21327,Ekart,Out for Delivery,4
717,22772,BlueDart,Out for Delivery,7
718,22759,BlueDart,Packed,2
719,21094,BlueDart,Delivered,7
720,21916,Delhivery,Packed,1
721,21102,Ekart,Out for Delivery,5
722,20884,BlueDart,Packed,1
723,21882,Delhivery,Packed,2
724,22078,DTDC,Out for Delivery,4
725,20555,Delhivery,Out for Delivery,7
726,23738,Ekart,Processing,4
727,23497,BlueDart,Out for Delivery,5
728,24997,Ekart,Shipped,2
729,20465,BlueDart,Shipped,6
730,23033,BlueDart,Processing,1
731,21418,BlueDart,Delivered,5
732,22117,DTDC,Packed,2
733,20238,BlueDart,Shipped,6
734,21080,Delhivery,Packed,5
735,22425,DTDC,Processing,7
736,24764,Delhivery,Processing,4
737,25880,BlueDart,Packed,6
738,21085,Ekart,Processing,3
739,20480,DTDC,Out for Delivery,7
740,22122,DTDC,Processing,7
741,23902,DTDC,Shipped,7
742,22134,DTDC,Processing,5
743,24922,BlueDart,Shipped,1
744,23165,Ekart,Delivered,2
745,24398,DTDC,Packed,7
746,25552,DTDC,Packed,3
747,24144,Delhivery,Packed,2
748,22595,Delhivery,Delivered,7
749,25637,Ekart,Out for Delivery,4
750,24373,Ekart,Shipped,5
751,25937,BlueDart,Packed,4
752,22041,BlueDart,Out for Delivery,5
753,20626,BlueDart,Processing,2
754,20693,Delhivery,Processing,1
755,24350,DTDC,Delivered,1
756,21931,Ekart,Delivered,4
757,25032,Delhivery,Processing,4
758,20406,DTDC,Shipped,6
759,20296,BlueDart,Delivered,2
760,22888,Delhivery,Delivered,5
761,25057,Ekart,Shipped,2
762,24901,Ekart,Processing,4
763,20836,BlueDart,Packed,2
764,24033,DTDC,Shipped,2
765,21805,DTDC,Packed,2
766,20176,Ekart,Shipped,2
767,21183,Delhivery,Out for Delivery,2
768,23088,Ekart,Shipped,5
769,25293,DTDC,Packed,2
770,20013,BlueDart,Packed,3
771,22412,Ekart,Out for Delivery,7
772,20152,Ekart,Delivered,7
773,24249,DTDC,Delivered,5
774,24753,Ekart,Processing,3
775,23807,Delhivery,Packed,1
776,23066,DTDC,Delivered,6
777,22862,Delhivery,Delivered,7
778,22566,BlueDart,Out for Delivery,4
779,22109,BlueDart,Out for Delivery,4
780,25200,BlueDart,Packed,5
781,22594,DTDC,Packed,3
782,21516,DTDC,Out for Delivery,4
783,22613,BlueDart,Packed,3
784,24647,BlueDart,Processing,4
785,20660,DTDC,Shipped,5
786,20686,BlueDart,Delivered,2
787,20228,Ekart,Delivered,6
788,21292,BlueDart,Delivered,3
789,20959,Delhivery,Shipped,7
790,23363,BlueDart,Processing,2
