OrderKey,CustomerKey,ChannelKey,PaymentKey
20132,5656,1,3
20133,5641,1,1
20134,6153,1,2
20135,5034,1,4
20136,5605,1,2
20137,5676,1,4
20138,6167,1,4
20139,6128,2,3
20140,5528,1,4
20141,5944,1,3
20142,5347,1,4
20143,5377,2,1
20144,6074,1,1
20145,6369,1,1
20146,5845,1,2
20147,5140,2,2
20148,5019,1,4
20149,5765,1,4
20150,6351,1,1
20151,5014,2,4
20152,5025,1,3
20153,6098,1,1
20154,6029,2,4
20155,5368,1,1
20156,6074,1,2
20157,5394,2,3
20158,5726,1,4
20159,5162,1,4
20160,5941,2,2
20161,6428,1,3
20162,6401,1,1
20163,5192,1,4
20164,5773,2,4
20165,5115,2,1
20166,6440,1,1
20167,6024,1,3
20168,6159,1,1
20169,5471,1,4
20170,5556,1,1
20171,6402,1,1
20172,5368,1,1
20173,5425,2,2
20174,6460,1,1
20175,5613,1,2
20176,6161,1,3
20177,5787,2,2
20178,6412,2,1
20179,6026,2,3
20180,5110,1,4
20181,5476,1,3
20182,6240,2,4
20183,5669,1,3
20184,5923,1,2
20185,5729,2,4
20186,5885,1,4
20187,5176,2,3
20188,5505,2,1
20189,5169,1,2
20190,5779,2,2
20191,5798,1,3
20192,5219,1,1
20193,5632,1,3
20194,5553,1,2
20195,5179,1,4
20196,5920,2,4
20197,5212,1,1
20198,5725,2,1
20199,6223,2,3
20200,5789,1,3
20201,5848,1,1
20202,6485,2,2
20203,6172,2,2
20204,6404,1,2
20205,5285,1,3
20206,5550,1,2
20207,5130,1,4
20208,5566,1,3
20209,5992,1,3
20210,5516,1,4
20211,6217,2,2
20212,5938,1,2
20213,5624,1,4
20214,5681,2,4
20215,5675,1,3
20216,5882,2,2
20217,5616,1,2
20218,5982,1,2
20219,5816,1,3
20220,6424,2,4
20221,6180,1,3
20222,5771,1,4
20223,5748,1,2
20224,6213,2,2
20225,6397,2,1
20226,6490,1,2
20227,5898,1,1
20228,5838,2,4
20229,5286,2,3
20230,5496,1,2
20231,6465,1,4
20232,5152,1,4
20233,6193,1,4
20234,6114,1,3
20235,6437,2,1
20236,5224,1,3
20237,5341,2,1
20238,6154,2,4
20239,5680,1,1
20240,5022,1,3
20241,5455,2,2
20242,5913,1,4
20243,5949,2,2
20244,5707,1,4
20245,5215,1,4
20246,5176,1,2
20247,5714,1,3
20248,5933,1,4
20249,5714,1,1
20250,5898,2,4
20251,5654,1,3
20252,5092,2,1
20253,5047,1,1
20254,6387,1,2
20255,6057,1,2
20256,5678,2,4
20257,5947,1,4
20258,6290,1,2
20259,6312,2,4
20260,5811,1,2
20261,5921,2,4
20262,5797,1,2
20263,5422,1,1
20264,6183,1,2
20265,5750,1,2
20266,5938,1,3
20267,6374,1,3
20268,6223,1,4
20269,6203,1,3
20270,5721,1,2
20271,6380,2,3
20272,6259,2,1
20273,6377,1,3
20274,5242,1,3
20275,5240,1,3
20276,6421,1,4
20277,5857,2,2
20278,6178,1,4
20279,5381,1,2
20280,6137,1,4
20281,5592,1,2
20282,5645,1,1
20283,5736,1,4
20284,5280,1,4
20285,6151,2,4
20286,5838,2,4
20287,5852,2,4
20288,6001,1,1
20289,6158,1,2
20290,5599,1,3
20291,5461,2,3
20292,5345,1,4
20293,6126,2,1
20294,6173,1,3
20295,6113,1,1
20296,6473,1,2
20297,5871,1,2
20298,5610,1,4
20299,5539,1,1
20300,5900,1,2
20301,5430,2,3
20302,6456,2,4
20303,5340,2,2
20304,5424,1,1
20305,6168,1,3
20306,6223,2,2
20307,5663,2,3
20308,5593,2,3
20309,6054,2,1
20310,5278,1,1
20311,5568,2,2
20312,6437,1,2
20313,5300,2,3
20314,5507,2,4
20315,6003,1,3
20316,6286,1,4
20317,5926,1,1
20318,5826,2,3
20319,6423,1,4
20320,6000,1,1
20321,5191,2,4
20322,6301,2,3
20323,5130,2,4
20324,5447,1,2
20325,6014,1,3
20326,5581,1,2
20327,6160,1,3
20328,6398,1,1
20329,5204,2,4
20330,5034,1,2
20331,5904,1,1
20332,5877,1,2
20333,6332,1,2
20334,5562,1,3
20335,5513,1,3
20336,6361,2,2
20337,5107,1,3
20338,6487,2,2
20339,5880,2,1
20340,6442,1,1
20341,5438,1,1
20342,5272,2,2
20343,6064,2,4
20344,5020,1,3
20345,5247,1,2
20346,5979,1,2
20347,5785,1,1
20348,5212,1,3
20349,5613,1,4
20350,5273,2,2
20351,5141,2,1
20352,6250,2,2
20353,5902,1,2
20354,6287,2,2
20355,5844,2,4
20356,5445,1,1
20357,5287,1,4
20358,5720,1,3
20359,5287,1,3
20360,6321,1,2
20361,6134,2,3
20362,6415,1,3
20363,5421,2,2
20364,5803,1,1
20365,5491,1,4
20366,5231,1,4
20367,6307,2,1
20368,6082,1,3
20369,5649,1,4
20370,6165,1,3
20371,6119,2,2
20372,5965,1,1
20373,6203,1,1
20374,5537,1,1
20375,5124,1,3
20376,6288,2,4
20377,5868,2,4
20378,5169,2,2
20379,5569,1,3
20380,5162,2,2
20381,5319,2,3
20382,5801,2,1
20383,5636,2,4
20384,6495,1,1
20385,5501,1,4
20386,5238,1,1
20387,5634,2,2
20388,5245,1,2
20389,6437,1,2
20390,6017,1,3
20391,5342,1,2
20392,5551,2,1
20393,5061,1,4
20394,5558,2,1
20395,5539,2,1
20396,6017,1,3
20397,5114,1,2
20398,5754,1,3
20399,5211,2,1
20400,5468,2,1
20401,5091,1,2
20402,5095,1,3
20403,5785,1,2
20404,5073,2,4
20405,5460,1,2
20406,5853,2,3
20407,5556,1,3
20408,5245,2,1
20409,5368,1,1
20410,5822,1,4
20411,5579,1,3
20412,5177,2,4
20413,5017,1,2
20414,5598,2,3
20415,6276,1,4
20416,5755,2,4
20417,5401,2,2
20418,5309,1,4
20419,5049,1,3
20420,6303,2,1
20421,5687,1,4
20422,6490,1,1
20423,5421,2,2
20424,5860,1,1
20425,5292,2,3
20426,5191,1,2
20427,6065,1,3
20428,5939,2,1
20429,6190,1,2
20430,6306,1,1
20431,6213,2,1
20432,5891,2,2
20433,5485,1,3
20434,5646,1,3
20435,5652,1,3
20436,5479,1,2
20437,5279,2,1
20438,5319,1,2
20439,5921,1,3
20440,5833,1,3
20441,5426,1,3
20442,5949,1,1
20443,5186,1,3
20444,6444,2,1
20445,5441,1,2
20446,5187,2,2
20447,5729,1,1
20448,6387,1,3
20449,5357,1,4
20450,5927,2,2
20451,5194,1,1
20452,5287,1,1
20453,5127,1,2
20454,5406,1,3
20455,6406,2,1
20456,6193,2,3
20457,5154,1,1
20458,5405,2,4
20459,5264,1,3
20460,5251,1,4
20461,5104,1,4
20462,6484,1,4
20463,5061,1,4
20464,5354,1,2
20465,5384,1,3
20466,5914,1,1
20467,6258,2,2
20468,6326,1,4
20469,5844,2,4
20470,5125,1,3
20471,5785,1,4
20472,5409,2,2
20473,6292,2,1
20474,5784,2,3
20475,5983,2,4
20476,5705,2,3
20477,5796,1,2
20478,5054,1,2
20479,5061,1,1
20480,5967,2,3
20481,6197,1,2
20482,5206,1,2
20483,5546,2,1
20484,5450,2,4
20485,5727,1,2
20486,5485,2,3
20487,6429,1,1
20488,6441,2,3
20489,6163,2,2
20490,6154,1,4
20491,6111,1,2
20492,6005,1,1
20493,5116,1,2
20494,5041,2,4
20495,5002,1,2
20496,5268,1,2
20497,5663,1,1
20498,5303,2,2
20499,5228,2,3
20500,5149,1,4
20501,6201,1,3
20502,5619,1,2
20503,5323,2,4
20504,6310,1,3
20505,5357,2,3
20506,5458,2,2
20507,5775,1,3
20508,5261,1,1
20509,6438,2,4
20510,6163,1,2
20511,6234,1,2
20512,6310,2,1
20513,6017,1,3
20514,5160,1,3
20515,5655,1,1
20516,6452,2,3
20517,5915,1,3
20518,5430,1,1
20519,5718,1,1
20520,6476,1,1
20521,5791,1,4
20522,5341,1,4
20523,5776,1,4
20524,5208,1,2
20525,5334,1,1
20526,5069,1,1
20527,5653,1,1
20528,5152,1,2
20529,5769,1,1
20530,6121,1,3
20531,6217,2,4
20532,6443,1,4
20533,6339,1,4
20534,5322,1,1
20535,5679,1,2
20536,5839,2,3
20537,6353,1,3
20538,5487,1,1
20539,5805,2,4
20540,5315,1,3
20541,5008,1,1
20542,5604,2,4
20543,5409,1,1
20544,5424,1,3
20545,5168,1,1
20546,5632,1,4
20547,6002,2,3
20548,5187,2,4
20549,5379,1,4
20550,5757,1,4
20551,5092,1,4
20552,5953,1,2
20553,5551,2,1
20554,5310,2,1
20555,5176,2,3
20556,6109,1,2
20557,6134,1,4
20558,6071,1,4
20559,6173,1,4
20560,5613,1,4
20561,6463,1,2
20562,5247,1,2
20563,5343,1,2
20564,5259,1,4
20565,5161,2,4
20566,5414,2,2
20567,6219,1,3
20568,6490,1,1
20569,5795,2,4
20570,6131,1,3
20571,6065,1,1
20572,6435,2,4
20573,5231,1,2
20574,5304,2,1
20575,5217,2,1
20576,5586,2,3
20577,5842,1,4
20578,6342,1,4
20579,5077,1,3
20580,5826,1,4
20581,5080,1,3
20582,6415,1,1
20583,5974,1,3
20584,5042,1,3
20585,5637,1,4
20586,6426,2,1
20587,5467,1,3
20588,5908,1,3
20589,6493,1,1
20590,5385,1,2
20591,5834,2,4
20592,6058,1,1
20593,6056,1,1
20594,5638,2,4
20595,5278,2,1
20596,5356,1,2
20597,5119,1,1
20598,5935,1,3
20599,6444,1,3
20600,5755,1,4
20601,6302,1,1
20602,5496,1,4
20603,6217,1,2
20604,5972,2,3
20605,5706,1,3
20606,6411,1,3
20607,5057,1,1
20608,5334,2,2
20609,5454,2,2
20610,6388,1,3
20611,6335,1,1
20612,6398,1,4
20613,5271,2,2
20614,6232,1,2
20615,5517,2,3
20616,6460,2,3
20617,5868,1,3
20618,5941,1,2
20619,5956,1,4
20620,6198,1,1
20621,6048,2,3
20622,6150,2,3
20623,5612,2,1
20624,5987,1,3
20625,5567,2,3
20626,5568,1,3
20627,5386,1,2
20628,5117,2,4
20629,6353,1,2
20630,6478,1,4
20631,5606,1,4
20632,5829,1,1
20633,6195,2,2
20634,5703,2,2
20635,6406,2,4
20636,6376,1,3
20637,5349,2,2
20638,5602,1,4
20639,5263,2,3
20640,6486,2,2
20641,6393,1,1
20642,5456,1,2
20643,5629,1,3
20644,5762,1,3
20645,5950,1,4
20646,5110,2,1
20647,5968,1,1
20648,6395,1,3
20649,5847,1,2
20650,5282,1,3
20651,5839,2,4
20652,5294,1,2
20653,5166,1,3
20654,6293,1,3
20655,6300,1,1
20656,5926,1,2
20657,5346,2,2
20658,6003,1,2
20659,6259,1,4
20660,5827,1,4
20661,5786,1,1
20662,6094,1,3
20663,5029,1,2
20664,5037,2,1
20665,6284,2,2
20666,5464,2,3
20667,5640,1,1
20668,5786,2,3
20669,5343,1,1
20670,5611,1,4
20671,6491,2,3
20672,5889,2,2
20673,5702,1,3
20674,5386,1,4
20675,5040,1,2
20676,6490,1,2
20677,5045,2,2
20678,5253,1,1
20679,5769,2,3
20680,6096,2,1
20681,6217,1,1
20682,6339,1,1
20683,6413,1,4
20684,5910,1,1
20685,6121,1,4
20686,6438,1,2
20687,6424,2,1
20688,5617,1,1
20689,6357,2,3
20690,6276,2,2
20691,5858,1,1
20692,5579,1,1
20693,6020,1,2
20694,5539,2,2
20695,5734,2,4
20696,5605,1,1
20697,6123,1,2
20698,6410,1,3
20699,5481,1,1
20700,6376,1,1
20701,6176,2,4
20702,5306,1,1
20703,6482,2,1
20704,5525,2,2
20705,5936,1,3
20706,5951,1,1
20707,5358,1,3
20708,5738,2,3
20709,5873,2,1
20710,5195,1,1
20711,5284,2,2
20712,5674,1,4
20713,6274,1,1
20714,5764,1,2
20715,5234,1,4
20716,5935,1,4
20717,6413,1,4
20718,6329,1,1
20719,5272,2,1
20720,5327,1,4
20721,6210,1,4
20722,5372,2,4
20723,5735,2,1
20724,6402,2,2
20725,5990,1,1
20726,5843,1,1
20727,5130,1,3
20728,5026,2,2
20729,6372,1,1
20730,5887,2,2
20731,5987,1,4
20732,5305,2,1
20733,5024,2,2
20734,6036,1,4
20735,5339,1,4
20736,5657,1,3
20737,5570,1,2
20738,6128,2,4
20739,5826,1,1
20740,5941,1,4
20741,5181,1,4
20742,5648,1,4
20743,6339,1,1
20744,5827,1,1
20745,6142,2,1
20746,5187,2,3
20747,6042,2,2
20748,6341,2,4
20749,5699,1,1
20750,5457,1,3
20751,6148,2,4
20752,6468,2,3
20753,6467,1,1
20754,5200,2,2
20755,5005,1,3
20756,6298,1,3
20757,6438,1,1
20758,5337,1,2
20759,6469,2,4
20760,5220,1,2
20761,5385,1,4
20762,5442,1,2
20763,6468,1,1
20764,5849,1,1
20765,5923,1,2
20766,6022,1,1
20767,6134,1,4
20768,6042,1,2
20769,6497,1,1
20770,5794,2,3
20771,6033,1,4
20772,6248,2,2
20773,5561,1,3
20774,5603,1,2
20775,5283,1,3
20776,6437,2,3
20777,6458,2,2
20778,5412,1,3
20779,6407,1,2
20780,6455,2,2
20781,6032,2,3
20782,6455,1,3
20783,6152,1,4
20784,6381,2,3
20785,5866,1,1
20786,5052,1,2
20787,5109,2,1
20788,5410,1,2
20789,5587,2,3
20790,5300,1,3
20791,5418,2,1
20792,5735,1,1
20793,6262,2,2
20794,6326,2,4
20795,5487,2,3
20796,6420,2,1
20797,5782,1,4
20798,6404,1,1
20799,5027,2,3
20800,5416,2,4
20801,5462,2,3
20802,6206,2,2
20803,6485,1,3
20804,5920,1,1
20805,5383,1,1
20806,5773,1,4
20807,5572,2,3
20808,5267,1,3
20809,5012,1,4
20810,6454,1,1
20811,5315,1,1
20812,6281,2,3
20813,6005,2,3
20814,5150,2,3
20815,6077,1,2
20816,6067,1,2
20817,5852,2,4
20818,5189,1,2
20819,5437,2,3
20820,5679,1,3
20821,5448,2,4
20822,6150,2,1
20823,5235,2,3
20824,5913,1,2
20825,5082,2,3
20826,5782,1,4
20827,5526,2,3
20828,5051,2,3
20829,6054,2,4
20830,5997,1,3
20831,6335,1,3
20832,6053,1,1
20833,5343,2,1
20834,6284,1,2
20835,6373,2,2
20836,6404,1,1
20837,5422,2,4
20838,6325,1,2
20839,5049,1,3
20840,5078,1,1
20841,5112,1,3
20842,6143,1,2
20843,5530,1,4
20844,5924,2,4
20845,5887,1,1
20846,5798,2,1
20847,6096,1,1
20848,6200,1,1
20849,5733,2,1
20850,5594,2,3
20851,6243,1,3
20852,5897,1,4
20853,6354,1,4
20854,5321,2,2
20855,5280,2,4
20856,6118,1,2
20857,5611,2,3
20858,5023,2,2
20859,5253,1,1
20860,6173,2,4
20861,6101,2,1
20862,5625,1,3
20863,5434,1,2
20864,5330,1,2
20865,6264,1,2
20866,5235,1,1
20867,6125,1,1
20868,5596,2,1
20869,5514,1,2
20870,6487,2,4
20871,5678,1,2
20872,6375,2,2
20873,5205,1,1
20874,5397,1,4
20875,5923,1,3
20876,6421,2,2
20877,6159,2,3
20878,5648,1,2
20879,5010,1,2
20880,5454,2,4
20881,5567,1,2
20882,6392,2,3
20883,5983,1,4
20884,5735,1,4
20885,6130,1,2
20886,6323,2,1
20887,5575,1,2
20888,5540,2,1
20889,6490,1,1
20890,6039,2,1
20891,6192,2,4
20892,6209,1,1
20893,6130,1,4
20894,6340,1,3
20895,5804,1,3
20896,5275,1,1
20897,5813,1,1
20898,6358,1,2
20899,6053,1,4
20900,5327,1,2
20901,6500,1,3
20902,5083,1,4
20903,5475,1,3
20904,5757,1,1
20905,6370,1,3
20906,5795,1,4
20907,5096,1,3
20908,5212,2,3
20909,5540,2,2
20910,5772,2,4
20911,5749,2,1
20912,6059,1,4
20913,5457,2,4
20914,5723,1,4
20915,5988,2,1
20916,6028,1,4
20917,5340,1,1
20918,6054,2,3
20919,5434,1,2
20920,5323,1,1
20921,6354,1,4
20922,5677,2,1
20923,5987,2,4
20924,5982,1,2
20925,6326,1,1
20926,5500,1,2
20927,6175,2,2
20928,5276,2,1
20929,6173,1,1
20930,5341,1,2
20931,6059,1,1
20932,6474,2,3
20933,5176,1,4
20934,6243,1,4
20935,5350,1,4
20936,6231,1,2
20937,6277,2,3
20938,5344,2,3
20939,5929,2,1
20940,5471,1,4
20941,5271,1,1
20942,5415,2,4
20943,5307,2,1
20944,5364,1,1
20945,6089,2,1
20946,5191,1,2
20947,6236,2,1
20948,6390,2,4
20949,6070,1,3
20950,5089,2,4
20951,5470,1,4
20952,5718,2,1
20953,5872,1,3
20954,5978,1,1
20955,5581,2,4
20956,5528,1,1
20957,6453,2,1
20958,6184,2,1
20959,6065,1,4
20960,6341,1,3
20961,5838,1,1
20962,5317,1,3
20963,5536,2,4
20964,6157,1,3
20965,6394,1,2
20966,5847,2,4
20967,5367,1,4
20968,5520,1,3
20969,6445,1,2
20970,6351,1,2
20971,5915,2,2
20972,5206,1,4
20973,5694,2,1
20974,5330,1,1
20975,5187,1,4
20976,6230,1,1
20977,5132,1,2
20978,5760,1,1
20979,6484,1,4
20980,6258,2,3
20981,6458,2,1
20982,5359,2,4
20983,5900,1,2
20984,6346,2,3
20985,5399,1,2
20986,6260,1,1
20987,5737,1,1
20988,5323,1,3
20989,5819,1,4
20990,5831,2,2
20991,6061,1,1
20992,5185,2,3
20993,6488,2,3
20994,5712,1,2
20995,6242,1,4
20996,5828,2,1
20997,5535,1,4
20998,6037,1,1
20999,6031,1,3
21000,5240,2,3
21001,6102,2,3
21002,6422,1,4
21003,6154,1,2
21004,5696,1,4
21005,6202,1,4
21006,5239,1,1
21007,5784,2,2
21008,6387,2,2
21009,5647,1,3
21010,6058,2,1
21011,6436,1,2
21012,5589,1,4
21013,6380,2,3
21014,5156,2,2
21015,5976,1,3
21016,5448,2,3
21017,5375,2,2
21018,6022,2,2
21019,5481,2,2
21020,5544,1,2
21021,5416,1,3
21022,5320,1,1
21023,5161,2,4
21024,6258,1,1
21025,5988,1,3
21026,6009,2,3
21027,6006,1,3
21028,5815,1,2
21029,5111,2,4
21030,5980,2,1
21031,6030,1,4
21032,6406,1,4
21033,5247,2,4
21034,5647,2,1
21035,5025,2,2
21036,5778,2,1
21037,5667,1,3
21038,5384,2,3
21039,5486,1,4
21040,6256,1,3
21041,5377,1,4
21042,5432,1,3
21043,5748,1,3
21044,5924,1,2
21045,6180,2,2
21046,5205,2,3
21047,5483,2,4
21048,5781,1,2
21049,5307,1,1
21050,5362,1,4
21051,5276,2,3
21052,5997,1,3
21053,6152,2,1
21054,5816,1,2
21055,5123,1,3
21056,5976,2,1
21057,5922,2,3
21058,5533,1,3
21059,6148,2,3
21060,5705,1,4
21061,5249,1,2
21062,6182,2,2
21063,5583,1,3
21064,6379,2,4
21065,5916,1,4
21066,6257,1,4
21067,6294,1,2
21068,6312,1,4
21069,6293,2,4
21070,5147,1,2
21071,5704,1,3
21072,5649,2,3
21073,6455,1,4
21074,5556,1,3
21075,6203,2,4
21076,5848,1,2
21077,5048,1,2
21078,6356,1,1
21079,5432,1,4
21080,5211,1,1
21081,5970,2,1
21082,5054,1,1
21083,5213,1,2
21084,5173,2,4
21085,5634,1,2
21086,5582,1,2
21087,5269,2,2
21088,5059,1,3
21089,5667,1,4
21090,6108,1,4
21091,5277,2,2
21092,6211,2,4
21093,6293,2,4
21094,6073,2,3
21095,5712,1,2
21096,5184,1,3
21097,5750,1,3
21098,5319,1,1
21099,5001,2,2
21100,5705,1,4
21101,6096,1,4
21102,5978,1,1
21103,5882,1,2
21104,5015,2,3
21105,5387,1,4
21106,5809,1,2
21107,6465,2,4
21108,5775,1,3
21109,5163,1,2
21110,6059,2,3
21111,5584,2,3
21112,5846,1,1
21113,5374,1,3
21114,5227,2,4
21115,6266,1,3
21116,6435,2,4
21117,5385,1,1
21118,5312,1,1
21119,5381,1,3
21120,5552,1,4
21121,6490,1,2
21122,5185,1,1
21123,6011,1,3
21124,5861,1,4
21125,5761,1,1
21126,5677,1,2
21127,5115,1,4
21128,5147,2,4
21129,5372,1,3
21130,5782,1,1
21131,6464,1,4
21132,5908,1,1
21133,5408,1,1
21134,6068,2,2
21135,5969,1,3
21136,5662,1,1
21137,6126,2,1
21138,5519,1,3
21139,5407,1,1
21140,6366,1,1
21141,5484,2,4
21142,5665,1,2
21143,5566,2,1
21144,5811,1,1
21145,5087,2,4
21146,6410,2,2
21147,5761,1,2
21148,5323,1,1
21149,6405,2,3
21150,6281,1,1
21151,5729,2,2
21152,6437,2,1
21153,5258,1,2
21154,5649,2,3
21155,5899,2,2
21156,5044,2,4
21157,5734,2,2
21158,5514,1,4
21159,6448,1,3
21160,6112,2,4
21161,5389,2,2
21162,6114,1,3
21163,6500,1,3
21164,6227,2,2
21165,5142,2,2
21166,5921,1,3
21167,6110,1,4
21168,5002,2,4
21169,5380,1,3
21170,6271,1,3
21171,6477,1,4
21172,5389,2,4
21173,6130,1,3
21174,5661,1,3
21175,5227,1,1
21176,5090,1,2
21177,5065,1,1
21178,5995,1,1
21179,5066,2,4
21180,6348,1,3
21181,5101,1,2
21182,6241,2,1
21183,5027,1,4
21184,5164,1,1
21185,5740,2,4
21186,5756,2,1
21187,6264,1,1
21188,5145,1,1
21189,5443,2,1
21190,5208,2,2
21191,6089,1,2
21192,5396,2,2
21193,6168,2,2
21194,6144,2,4
21195,5217,2,3
21196,6382,1,4
21197,5214,1,2
21198,6127,1,3
21199,6347,1,4
21200,5722,1,3
21201,5762,1,4
21202,6487,1,2
21203,6154,2,2
21204,5769,2,3
21205,5738,1,4
21206,5814,1,1
21207,5583,2,1
21208,6061,1,3
21209,5014,1,2
21210,5440,1,1
21211,6413,1,2
21212,5194,1,4
21213,5729,1,2
21214,5543,1,2
21215,5478,1,3
21216,5189,2,4
21217,6166,1,1
21218,6482,1,4
21219,5355,1,1
21220,6220,2,3
21221,5077,2,4
21222,5161,1,3
21223,5713,1,4
21224,5247,1,1
21225,6299,2,4
21226,5111,1,1
21227,5654,2,2
21228,5670,2,2
21229,5314,1,4
21230,5913,2,1
21231,5455,1,3
21232,5808,1,2
21233,5689,1,4
21234,6171,2,1
21235,6123,1,3
21236,5175,1,4
21237,6430,1,2
21238,5985,2,2
21239,6000,1,2
21240,6150,2,2
21241,5497,1,3
21242,5881,1,1
21243,5231,2,4
21244,5868,1,3
21245,5391,1,3
21246,6217,2,1
21247,5625,1,3
21248,6263,1,2
21249,5903,1,2
21250,5409,2,3
21251,5320,2,1
21252,5231,2,1
21253,5498,2,2
21254,5590,1,3
21255,6421,1,3
21256,5922,1,1
21257,5680,1,2
21258,5418,2,3
21259,6124,1,2
21260,6424,2,1
21261,5772,2,1
21262,5524,1,1
21263,5582,1,3
21264,5109,1,1
21265,5137,1,3
21266,6358,2,3
21267,5221,1,3
21268,6330,1,2
21269,5780,2,1
21270,5647,1,1
21271,5382,1,4
21272,6149,2,1
21273,5082,1,3
21274,5684,1,4
21275,5322,1,3
21276,6402,1,3
21277,6281,1,2
21278,6027,1,1
21279,6282,1,4
21280,5061,2,3
21281,5462,1,3
21282,5805,2,2
21283,5180,2,4
21284,6067,2,2
21285,5855,1,2
21286,5874,1,3
21287,5920,2,2
21288,5424,2,2
21289,6190,2,2
21290,5283,1,2
21291,5881,1,2
21292,5651,1,1
21293,5378,1,2
21294,6490,1,3
21295,5848,1,3
21296,5908,2,3
21297,5312,1,1
21298,5270,1,1
21299,6254,2,3
21300,6241,2,2
21301,6222,1,2
21302,6408,1,3
21303,5163,2,4
21304,5275,2,4
21305,6459,2,3
21306,5377,1,4
21307,5971,1,2
21308,5396,1,1
21309,5837,1,3
21310,5846,1,2
21311,5419,1,2
21312,5900,2,4
21313,6409,1,4
21314,5506,1,4
21315,5086,2,4
21316,6475,1,4
21317,6253,2,1
21318,6067,1,4
21319,5936,1,2
21320,6063,2,4
21321,5081,2,4
21322,6058,2,1
21323,5389,1,4
21324,5816,1,3
21325,5945,1,4
21326,5603,2,1
21327,6414,2,2
21328,5950,2,4
21329,5186,2,1
21330,5369,2,2
21331,5806,1,3
21332,5924,1,2
21333,5930,2,2
21334,5932,1,3
21335,5664,2,2
21336,6472,2,1
21337,5187,1,4
21338,6299,1,1
21339,6073,2,4
21340,6489,2,2
21341,5776,2,4
21342,5090,1,3
21343,6159,2,2
21344,5333,1,2
21345,6459,1,4
21346,5631,1,4
21347,5592,2,2
21348,5241,1,2
21349,5008,2,3
21350,5026,1,4
21351,6022,2,1
21352,6246,1,2
21353,5445,2,4
21354,5930,1,4
21355,5163,2,1
21356,5502,2,3
21357,6270,2,2
21358,5101,1,2
21359,5113,2,3
21360,5076,1,1
21361,6367,2,3
21362,5679,1,1
21363,5224,1,2
21364,5331,2,3
21365,6252,2,2
21366,5933,2,3
21367,5074,1,3
21368,5662,1,4
21369,5139,1,1
21370,5600,1,2
21371,5250,2,3
21372,5675,2,4
21373,6075,1,2
21374,6254,1,1
21375,6171,2,1
21376,5991,2,3
21377,5875,2,3
21378,5532,2,3
21379,5266,2,4
21380,6065,2,4
21381,6009,1,2
21382,6452,1,2
21383,5004,1,1
21384,5953,2,1
21385,5425,2,4
21386,5848,1,3
21387,5717,2,2
21388,5024,2,2
21389,6414,1,3
21390,5139,1,3
21391,6038,2,3
21392,5013,1,3
21393,5700,1,1
21394,5360,1,3
