SalesKey,DateKey,ProductKey,CustomerKey,EmployeeKey,BranchKey,StoreKey,PromotionKey,Quantity,UnitPrice,Discount,TotalAmount,SaleDate
32,95,107,11,39,1,1,6,3,1109.5,20,2662.8,04-04-2024
33,152,89,143,4,2,1,6,3,2546.15,20,6110.76,31-05-2024
34,311,39,192,29,2,1,6,5,4429.19,20,17716.76,06-11-2024
35,137,113,69,44,2,1,3,4,4264.61,20,13646.75,16-05-2024
36,247,60,23,5,2,1,5,5,1967.44,20,7869.76,03-09-2024
37,243,28,181,29,2,1,2,1,3666.79,20,2933.43,30-08-2024
38,31,97,293,30,1,1,2,1,3472.54,20,2778.03,31-01-2024
39,40,54,9,29,2,1,6,3,1963.05,20,4711.32,09-02-2024
40,229,37,271,26,1,1,2,5,2889.95,20,11559.8,16-08-2024
41,36,9,93,19,2,1,5,1,3579.01,20,2863.21,05-02-2024
42,223,82,17,26,1,1,6,2,1039.81,20,1663.7,10-08-2024
43,6,56,154,37,1,1,7,1,3955.21,30,2768.65,06-01-2024
44,322,59,149,27,1,1,7,5,2890.15,30,10115.52,17-11-2024
45,220,85,267,30,3,1,5,5,2075.94,20,8303.76,07-08-2024
46,75,2,106,30,1,1,8,1,2514.33,20,2011.46,15-03-2024
47,4,61,35,3,1,1,2,5,2411.21,20,9644.84,04-01-2024
48,335,58,119,43,2,1,6,5,3452.08,20,13808.32,30-11-2024
49,134,107,14,7,1,1,7,2,1109.5,30,1553.3,13-05-2024
50,118,60,14,9,1,1,5,3,1967.44,20,4721.86,27-04-2024
51,94,102,266,41,3,1,4,5,1803.1,20,7212.4,03-04-2024
52,62,40,140,42,2,1,7,4,1171.25,30,3279.5,02-03-2024
53,194,36,294,13,3,1,4,3,2090.7,20,5017.68,12-07-2024
54,335,114,119,15,3,1,5,3,3197.77,20,7674.65,30-11-2024
55,203,107,238,5,3,1,5,4,1109.5,20,3550.4,21-07-2024
56,26,37,34,29,1,1,1,1,2889.95,10,2600.96,26-01-2024
57,173,79,169,35,3,1,7,2,3920.16,30,5488.22,21-06-2024
58,300,92,10,27,3,1,1,5,2380.87,10,10713.92,26-10-2024
59,133,18,122,27,2,1,3,1,2652.27,20,2121.82,12-05-2024
60,326,98,145,8,2,1,7,4,1047.84,30,2933.95,21-11-2024
61,118,63,223,32,2,1,6,2,3101.45,20,4962.32,27-04-2024
62,324,22,257,20,2,1,3,2,3222.37,20,5155.79,19-11-2024
63,275,11,268,10,3,1,3,2,2009.02,20,3214.43,01-10-2024
64,212,58,4,13,2,1,2,4,3452.08,20,11046.66,30-07-2024
65,225,57,106,29,1,1,4,1,1391.84,20,1113.47,12-08-2024
66,20,77,85,35,3,1,2,5,1458.15,20,5832.6,20-01-2024
67,113,4,214,8,2,1,6,2,1533.33,20,2453.33,22-04-2024
68,140,86,121,29,3,1,5,2,3880.33,20,6208.53,19-05-2024
69,47,7,132,31,2,1,1,1,1543.76,10,1389.38,16-02-2024
70,1,61,197,41,3,1,6,2,2411.21,20,3857.94,01-01-2024
71,90,107,19,30,2,1,5,2,1109.5,20,1775.2,30-03-2024
72,142,54,130,22,1,1,6,4,1963.05,20,6281.76,21-05-2024
73,320,88,12,21,2,1,5,3,4374.91,20,10499.78,15-11-2024
74,38,68,81,12,3,1,7,1,1155.39,30,808.77,07-02-2024
75,293,92,262,11,3,1,1,1,2380.87,10,2142.78,19-10-2024
76,139,79,125,2,1,1,5,1,3920.16,20,3136.13,18-05-2024
77,356,1,267,41,3,1,3,4,2648.21,20,8474.27,21-12-2024
78,333,55,140,2,1,1,6,4,2061.18,20,6595.78,28-11-2024
79,259,3,2,34,3,1,1,5,4480.05,10,20160.23,15-09-2024
80,161,78,8,3,3,1,5,4,4434.63,20,14190.82,09-06-2024
81,178,38,250,16,1,1,3,1,2960.25,20,2368.2,26-06-2024
82,10,114,139,4,3,1,3,5,3197.77,20,12791.08,10-01-2024
83,261,1,124,23,3,1,7,3,2648.21,30,5561.24,17-09-2024
84,138,102,228,20,1,1,4,2,1803.1,20,2884.96,17-05-2024
85,172,38,10,25,2,1,3,2,2960.25,20,4736.4,20-06-2024
86,13,85,212,30,1,1,2,5,2075.94,20,8303.76,13-01-2024
87,168,112,112,18,3,1,1,3,1558.32,10,4207.46,16-06-2024
88,130,29,8,42,2,1,1,2,1056.97,10,1902.55,09-05-2024
89,84,5,292,11,2,1,8,5,965.07,20,3860.28,24-03-2024
90,321,113,253,29,2,1,1,4,4264.61,10,15352.6,16-11-2024
91,319,74,14,17,1,1,5,1,2478.51,20,1982.81,14-11-2024
92,101,92,240,26,2,1,6,3,2380.87,20,5714.09,10-04-2024
93,329,21,242,23,2,1,5,2,2160.28,20,3456.45,24-11-2024
94,273,114,149,20,2,1,2,1,3197.77,20,2558.22,29-09-2024
95,265,71,236,45,3,1,8,5,4091.82,20,16367.28,21-09-2024
96,38,67,167,2,1,1,6,2,1599.39,20,2559.02,07-02-2024
97,94,109,20,24,1,1,7,1,2492.47,30,1744.73,03-04-2024
98,95,47,216,31,3,1,3,4,3939.17,20,12605.34,04-04-2024
99,305,84,135,27,2,1,8,3,2833.5,20,6800.4,31-10-2024
100,69,83,129,2,3,1,5,5,1991.76,20,7967.04,09-03-2024
101,318,35,294,14,3,1,6,2,4331.06,20,6929.7,13-11-2024
102,236,68,246,4,2,1,3,4,1155.39,20,3697.25,23-08-2024
103,334,69,189,13,2,1,6,3,2328.42,20,5588.21,29-11-2024
104,137,1,44,36,1,1,3,3,2648.21,20,6355.7,16-05-2024
105,76,68,86,35,2,1,6,4,1155.39,20,3697.25,16-03-2024
106,35,12,44,44,3,1,5,2,2853.14,20,4565.02,04-02-2024
107,1,60,145,8,3,1,8,3,1967.44,20,4721.86,01-01-2024
108,296,27,51,2,2,1,5,5,2959.22,20,11836.88,22-10-2024
109,320,56,242,6,1,1,2,1,3955.21,20,3164.17,15-11-2024
110,60,106,294,31,3,1,7,5,3378.6,30,11825.1,29-02-2024
111,320,23,51,10,2,1,7,3,3308.13,30,6947.07,15-11-2024
112,349,25,266,44,1,1,4,1,1728.67,20,1382.94,14-12-2024
113,328,21,120,21,1,1,1,4,2160.28,10,7777.01,23-11-2024
114,267,61,200,42,3,1,5,1,2411.21,20,1928.97,23-09-2024
115,361,63,248,10,3,1,5,1,3101.45,20,2481.16,26-12-2024
116,229,52,70,23,1,1,3,1,2191.13,20,1752.9,16-08-2024
117,270,88,57,3,1,1,4,3,4374.91,20,10499.78,26-09-2024
118,316,25,39,32,1,1,7,2,1728.67,30,2420.14,11-11-2024
119,286,109,289,20,2,1,5,3,2492.47,20,5981.93,12-10-2024
120,291,55,18,10,3,1,6,2,2061.18,20,3297.89,17-10-2024
121,213,46,220,29,1,1,7,4,2320.89,30,6498.49,31-07-2024
122,165,32,244,41,3,1,4,4,1906.42,20,6100.54,13-06-2024
123,5,55,298,34,3,1,1,4,2061.18,10,7420.25,05-01-2024
124,339,96,283,37,3,1,6,4,4390.33,20,14049.06,04-12-2024
125,78,5,74,20,1,1,3,4,965.07,20,3088.22,18-03-2024
126,62,36,110,8,2,1,2,5,2090.7,20,8362.8,02-03-2024
127,132,110,180,7,1,1,6,3,1763.23,20,4231.75,11-05-2024
128,89,106,32,6,3,1,8,2,3378.6,20,5405.76,29-03-2024
129,237,49,234,11,1,1,7,4,1153.5,30,3229.8,24-08-2024
130,42,106,282,44,1,1,8,5,3378.6,20,13514.4,11-02-2024
131,89,58,25,18,3,1,1,5,3452.08,10,15534.36,29-03-2024
132,296,39,279,42,3,1,6,5,4429.19,20,17716.76,22-10-2024
133,328,80,226,29,1,1,4,3,3997.46,20,9593.9,23-11-2024
134,295,97,57,25,1,1,4,4,3472.54,20,11112.13,21-10-2024
135,104,113,180,21,1,1,1,5,4264.61,10,19190.74,13-04-2024
136,14,85,232,3,1,1,7,5,2075.94,30,7265.79,14-01-2024
137,288,61,287,18,2,1,4,4,2411.21,20,7715.87,14-10-2024
138,179,9,64,24,1,1,6,3,3579.01,20,8589.62,27-06-2024
139,125,6,232,38,2,1,2,5,2678.02,20,10712.08,04-05-2024
140,353,115,289,10,3,1,6,2,2760.11,20,4416.18,18-12-2024
141,23,109,213,27,2,1,2,1,2492.47,20,1993.98,23-01-2024
142,63,35,258,12,3,1,4,1,4331.06,20,3464.85,03-03-2024
143,143,39,18,7,2,1,6,1,4429.19,20,3543.35,22-05-2024
144,153,22,175,17,3,1,4,3,3222.37,20,7733.69,01-06-2024
145,145,41,229,1,1,1,7,5,2000.51,30,7001.78,24-05-2024
146,225,118,226,26,2,1,2,1,3528.14,20,2822.51,12-08-2024
147,309,5,84,15,2,1,7,1,965.07,30,675.55,04-11-2024
148,104,42,291,33,3,1,4,4,1587.28,20,5079.3,13-04-2024
149,104,87,246,37,3,1,5,5,1877.55,20,7510.2,13-04-2024
150,39,81,110,31,2,1,3,5,1800.9,20,7203.6,08-02-2024
151,198,76,254,35,3,1,6,4,2081.35,20,6660.32,16-07-2024
152,134,87,88,1,1,1,5,5,1877.55,20,7510.2,13-05-2024
153,67,80,72,8,2,1,7,2,3997.46,30,5596.44,07-03-2024
154,179,67,30,12,1,1,8,3,1599.39,20,3838.54,27-06-2024
155,42,30,172,19,2,1,4,4,4480.38,20,14337.22,11-02-2024
156,15,57,177,25,1,1,4,1,1391.84,20,1113.47,15-01-2024
157,111,86,139,32,2,1,3,5,3880.33,20,15521.32,20-04-2024
158,157,73,194,12,3,1,4,2,2983.91,20,4774.26,05-06-2024
159,289,29,186,13,2,1,3,2,1056.97,20,1691.15,15-10-2024
160,231,111,218,28,1,1,6,3,1237.94,20,2971.06,18-08-2024
161,157,37,164,1,2,1,2,2,2889.95,20,4623.92,05-06-2024
162,38,87,161,6,1,1,3,5,1877.55,20,7510.2,07-02-2024
163,97,13,13,8,1,1,3,5,2731.73,20,10926.92,06-04-2024
164,289,32,296,4,1,1,5,2,1906.42,20,3050.27,15-10-2024
165,254,46,89,5,3,1,4,5,2320.89,20,9283.56,10-09-2024
166,196,116,42,25,2,1,6,5,3265.6,20,13062.4,14-07-2024
167,86,111,210,22,1,1,2,1,1237.94,20,990.35,26-03-2024
168,322,112,229,28,3,1,1,4,1558.32,10,5609.95,17-11-2024
169,10,23,275,39,1,1,7,5,3308.13,30,11578.46,10-01-2024
170,5,45,279,23,2,1,3,5,2241.67,20,8966.68,05-01-2024
171,123,17,251,4,3,1,1,3,4424.01,10,11944.83,02-05-2024
172,330,119,208,4,1,1,4,4,1071.78,20,3429.7,25-11-2024
173,353,104,140,21,1,1,7,4,1191.14,30,3335.19,18-12-2024
174,118,85,280,37,1,1,3,4,2075.94,20,6643.01,27-04-2024
175,294,66,34,41,2,1,8,2,3160.42,20,5056.67,20-10-2024
176,159,101,18,2,3,1,8,1,3578.55,20,2862.84,07-06-2024
177,303,6,57,7,3,1,1,1,2678.02,10,2410.22,29-10-2024
178,228,108,112,16,3,1,5,3,4194.77,20,10067.45,15-08-2024
179,365,18,5,17,1,1,1,4,2652.27,10,9548.17,30-12-2024
180,216,94,182,20,3,1,7,4,1398.07,30,3914.6,03-08-2024
181,184,22,13,23,1,1,5,5,3222.37,20,12889.48,02-07-2024
182,15,118,285,34,2,1,7,2,3528.14,30,4939.4,15-01-2024
183,157,33,259,11,3,1,2,2,4080.58,20,6528.93,05-06-2024
184,136,30,90,34,1,1,4,3,4480.38,20,10752.91,15-05-2024
185,261,81,104,33,3,1,8,1,1800.9,20,1440.72,17-09-2024
186,157,107,186,26,3,1,6,4,1109.5,20,3550.4,05-06-2024
187,47,32,250,2,2,1,1,3,1906.42,10,5147.33,16-02-2024
188,324,42,255,23,3,1,3,2,1587.28,20,2539.65,19-11-2024
189,332,115,76,41,2,1,7,2,2760.11,30,3864.15,27-11-2024
190,173,78,108,22,3,1,7,2,4434.63,30,6208.48,21-06-2024
191,130,10,156,34,3,1,4,4,3495.38,20,11185.22,09-05-2024
192,95,111,82,15,3,1,1,4,1237.94,10,4456.58,04-04-2024
193,115,115,77,10,3,1,3,4,2760.11,20,8832.35,24-04-2024
194,243,36,258,15,3,1,3,5,2090.7,20,8362.8,30-08-2024
195,292,34,127,42,3,1,7,1,3591.79,30,2514.25,18-10-2024
196,282,73,282,29,2,1,6,2,2983.91,20,4774.26,08-10-2024
197,299,106,88,23,2,1,7,2,3378.6,30,4730.04,25-10-2024
198,283,28,204,17,1,1,6,5,3666.79,20,14667.16,09-10-2024
199,69,11,16,9,3,1,7,2,2009.02,30,2812.63,09-03-2024
200,148,78,151,36,2,1,7,2,4434.63,30,6208.48,27-05-2024
201,11,39,254,9,3,1,3,4,4429.19,20,14173.41,11-01-2024
202,254,119,188,16,3,1,6,4,1071.78,20,3429.7,10-09-2024
203,330,47,32,36,2,1,3,1,3939.17,20,3151.34,25-11-2024
204,360,118,271,33,3,1,1,2,3528.14,10,6350.65,25-12-2024
205,38,19,5,31,2,1,7,3,4161.96,30,8740.12,07-02-2024
206,134,118,169,6,2,1,2,2,3528.14,20,5645.02,13-05-2024
207,200,15,181,10,1,1,6,2,1801.66,20,2882.66,18-07-2024
208,23,28,178,16,1,1,5,1,3666.79,20,2933.43,23-01-2024
209,303,24,143,4,1,1,8,3,4011,20,9626.4,29-10-2024
210,346,72,248,22,1,1,5,2,999.42,20,1599.07,11-12-2024
211,302,107,127,13,3,1,5,3,1109.5,20,2662.8,28-10-2024
212,363,9,263,16,3,1,2,4,3579.01,20,11452.83,28-12-2024
213,218,47,40,29,1,1,3,4,3939.17,20,12605.34,05-08-2024
214,141,33,255,6,2,1,3,3,4080.58,20,9793.39,20-05-2024
215,104,62,143,26,2,1,8,2,1822.34,20,2915.74,13-04-2024
216,210,97,240,11,2,1,8,3,3472.54,20,8334.1,28-07-2024
217,111,19,228,24,2,1,4,3,4161.96,20,9988.7,20-04-2024
218,104,67,198,29,3,1,8,4,1599.39,20,5118.05,13-04-2024
219,316,74,65,3,2,1,5,3,2478.51,20,5948.42,11-11-2024
220,171,40,11,10,2,1,5,5,1171.25,20,4685,19-06-2024
221,356,47,108,1,1,1,3,5,3939.17,20,15756.68,21-12-2024
222,324,106,26,43,2,1,5,4,3378.6,20,10811.52,19-11-2024
223,133,65,151,26,3,1,3,2,918.67,20,1469.87,12-05-2024
224,293,29,221,12,2,1,7,2,1056.97,30,1479.76,19-10-2024
225,328,50,237,14,2,1,7,4,1652.11,30,4625.91,23-11-2024
226,127,98,237,25,3,1,3,2,1047.84,20,1676.54,06-05-2024
227,106,115,219,8,1,1,6,1,2760.11,20,2208.09,15-04-2024
228,92,13,151,43,3,1,3,5,2731.73,20,10926.92,01-04-2024
229,287,118,123,4,1,1,1,1,3528.14,10,3175.33,13-10-2024
230,51,1,144,28,2,1,1,1,2648.21,10,2383.39,20-02-2024
231,29,34,189,7,1,1,1,1,3591.79,10,3232.61,29-01-2024
232,296,93,255,10,1,1,1,4,3418.24,10,12305.66,22-10-2024
233,297,48,68,36,1,1,2,1,4248.06,20,3398.45,23-10-2024
234,214,111,104,2,2,1,4,3,1237.94,20,2971.06,01-08-2024
235,267,77,159,26,1,1,4,2,1458.15,20,2333.04,23-09-2024
236,257,48,300,14,1,1,3,4,4248.06,20,13593.79,13-09-2024
237,302,49,90,16,2,1,7,3,1153.5,30,2422.35,28-10-2024
238,101,117,256,43,3,1,5,3,2468.42,20,5924.21,10-04-2024
239,346,64,220,42,3,1,1,5,1193.74,10,5371.83,11-12-2024
240,110,61,9,17,3,1,4,5,2411.21,20,9644.84,19-04-2024
241,182,29,12,22,2,1,4,3,1056.97,20,2536.73,30-06-2024
242,313,39,244,4,2,1,1,5,4429.19,10,19931.36,08-11-2024
243,1,88,182,19,3,1,7,2,4374.91,30,6124.87,01-01-2024
244,319,26,284,2,1,1,2,2,2697.1,20,4315.36,14-11-2024
245,55,17,99,39,3,1,2,5,4424.01,20,17696.04,24-02-2024
246,149,71,197,9,2,1,8,1,4091.82,20,3273.46,28-05-2024
247,309,13,226,19,1,1,4,3,2731.73,20,6556.15,04-11-2024
248,137,69,103,16,1,1,8,2,2328.42,20,3725.47,16-05-2024
249,202,26,106,25,2,1,2,5,2697.1,20,10788.4,20-07-2024
250,313,49,58,18,1,1,6,5,1153.5,20,4614,08-11-2024
251,117,67,78,23,3,1,1,2,1599.39,10,2878.9,26-04-2024
252,154,7,75,21,2,1,7,2,1543.76,30,2161.26,02-06-2024
253,291,58,42,11,2,1,4,1,3452.08,20,2761.66,17-10-2024
254,63,49,181,39,2,1,1,5,1153.5,10,5190.75,03-03-2024
255,244,103,33,41,2,1,2,5,1563.6,20,6254.4,31-08-2024
256,25,53,71,4,1,1,1,4,1814.99,10,6533.96,25-01-2024
257,90,65,56,25,2,1,2,1,918.67,20,734.94,30-03-2024
258,75,113,105,32,2,1,7,2,4264.61,30,5970.45,15-03-2024
259,294,62,200,30,1,1,2,2,1822.34,20,2915.74,20-10-2024
260,210,17,101,45,2,1,1,3,4424.01,10,11944.83,28-07-2024
261,347,43,256,26,1,1,7,2,1866.51,30,2613.11,12-12-2024
262,17,25,74,36,1,1,2,5,1728.67,20,6914.68,17-01-2024
263,128,3,171,34,2,1,8,2,4480.05,20,7168.08,07-05-2024
264,364,79,143,9,3,1,6,5,3920.16,20,15680.64,29-12-2024
265,251,29,166,12,2,1,3,5,1056.97,20,4227.88,07-09-2024
266,179,117,261,2,3,1,1,1,2468.42,10,2221.58,27-06-2024
267,182,107,221,38,1,1,3,2,1109.5,20,1775.2,30-06-2024
268,152,32,83,5,3,1,1,1,1906.42,10,1715.78,31-05-2024
269,25,26,182,5,2,1,2,5,2697.1,20,10788.4,25-01-2024
270,180,16,10,22,2,1,2,2,3023.54,20,4837.66,28-06-2024
271,198,25,4,5,3,1,7,2,1728.67,30,2420.14,16-07-2024
272,344,54,292,4,2,1,4,1,1963.05,20,1570.44,09-12-2024
273,161,28,281,9,3,1,6,1,3666.79,20,2933.43,09-06-2024
274,177,73,215,29,1,1,8,5,2983.91,20,11935.64,25-06-2024
275,285,120,98,22,3,1,4,5,2937.73,20,11750.92,11-10-2024
276,63,56,101,27,3,1,3,2,3955.21,20,6328.34,03-03-2024
277,150,65,9,10,3,1,2,2,918.67,20,1469.87,29-05-2024
278,154,93,61,16,3,1,4,4,3418.24,20,10938.37,02-06-2024
279,156,86,146,42,1,1,2,4,3880.33,20,12417.06,04-06-2024
280,49,80,63,42,1,1,1,3,3997.46,10,10793.14,18-02-2024
281,337,41,121,10,1,1,4,5,2000.51,20,8002.04,02-12-2024
282,84,115,226,6,3,1,3,3,2760.11,20,6624.26,24-03-2024
283,361,108,105,5,1,1,7,3,4194.77,30,8809.02,26-12-2024
284,177,51,260,6,2,1,4,1,3316.12,20,2652.9,25-06-2024
285,148,118,255,25,1,1,2,1,3528.14,20,2822.51,27-05-2024
286,118,105,207,4,3,1,5,4,2441.93,20,7814.18,27-04-2024
287,342,71,28,40,2,1,5,3,4091.82,20,9820.37,07-12-2024
288,63,78,170,32,3,1,7,4,4434.63,30,12416.96,03-03-2024
289,189,29,76,35,2,1,7,5,1056.97,30,3699.4,07-07-2024
290,360,83,116,10,3,1,6,2,1991.76,20,3186.82,25-12-2024
291,49,19,69,34,3,1,7,1,4161.96,30,2913.37,18-02-2024
292,327,66,234,36,2,1,2,5,3160.42,20,12641.68,22-11-2024
293,257,41,1,6,1,1,8,5,2000.51,20,8002.04,13-09-2024
294,224,45,167,43,2,1,1,1,2241.67,10,2017.5,11-08-2024
295,141,15,218,16,2,1,4,1,1801.66,20,1441.33,20-05-2024
296,215,3,273,19,2,1,7,3,4480.05,30,9408.1,02-08-2024
297,211,11,251,34,2,1,5,4,2009.02,20,6428.86,29-07-2024
298,318,53,174,25,2,1,1,5,1814.99,10,8167.46,13-11-2024
299,32,46,170,31,3,1,8,3,2320.89,20,5570.14,01-02-2024
300,158,30,246,41,3,1,2,3,4480.38,20,10752.91,06-06-2024
301,285,57,90,17,1,1,1,5,1391.84,10,6263.28,11-10-2024
302,305,104,49,30,1,1,2,5,1191.14,20,4764.56,31-10-2024
303,286,18,294,39,2,1,8,2,2652.27,20,4243.63,12-10-2024
304,144,51,150,31,1,1,8,4,3316.12,20,10611.58,23-05-2024
305,19,48,132,19,1,1,6,5,4248.06,20,16992.24,19-01-2024
306,18,66,59,35,2,1,4,1,3160.42,20,2528.34,18-01-2024
307,257,96,199,29,3,1,1,2,4390.33,10,7902.59,13-09-2024
308,78,8,215,1,3,1,8,4,2219.29,20,7101.73,18-03-2024
309,175,22,49,4,1,1,4,1,3222.37,20,2577.9,23-06-2024
310,194,6,232,28,3,1,1,1,2678.02,10,2410.22,12-07-2024
311,113,76,247,18,3,1,2,4,2081.35,20,6660.32,22-04-2024
312,114,111,239,26,1,1,8,2,1237.94,20,1980.7,23-04-2024
313,222,57,168,40,2,1,2,1,1391.84,20,1113.47,09-08-2024
314,166,104,48,19,1,1,1,3,1191.14,10,3216.08,14-06-2024
315,319,36,51,6,1,1,6,4,2090.7,20,6690.24,14-11-2024
316,132,79,299,1,1,1,2,4,3920.16,20,12544.51,11-05-2024
317,264,92,98,8,2,1,3,5,2380.87,20,9523.48,20-09-2024
318,55,116,216,33,2,1,3,2,3265.6,20,5224.96,24-02-2024
319,359,57,177,43,2,1,4,3,1391.84,20,3340.42,24-12-2024
320,131,49,80,21,2,1,7,3,1153.5,30,2422.35,10-05-2024
321,288,45,185,24,1,1,3,5,2241.67,20,8966.68,14-10-2024
322,266,82,27,25,3,1,3,1,1039.81,20,831.85,22-09-2024
323,162,66,195,43,1,1,6,1,3160.42,20,2528.34,10-06-2024
324,87,77,214,19,2,1,6,3,1458.15,20,3499.56,27-03-2024
325,55,45,114,29,3,1,7,2,2241.67,30,3138.34,24-02-2024
326,288,118,242,10,1,1,5,1,3528.14,20,2822.51,14-10-2024
327,178,79,124,12,3,1,7,4,3920.16,30,10976.45,26-06-2024
328,349,20,76,33,2,1,5,5,2463.82,20,9855.28,14-12-2024
329,8,64,196,7,3,1,6,2,1193.74,20,1909.98,08-01-2024
330,321,93,44,17,3,1,5,1,3418.24,20,2734.59,16-11-2024
331,313,106,186,10,2,1,6,3,3378.6,20,8108.64,08-11-2024
332,247,93,246,31,3,1,5,5,3418.24,20,13672.96,03-09-2024
333,323,67,84,6,1,1,2,1,1599.39,20,1279.51,18-11-2024
334,255,83,207,17,3,1,6,3,1991.76,20,4780.22,11-09-2024
335,328,3,151,37,1,1,7,1,4480.05,30,3136.04,23-11-2024
336,54,54,156,18,3,1,4,5,1963.05,20,7852.2,23-02-2024
337,249,78,16,26,3,1,4,4,4434.63,20,14190.82,05-09-2024
338,239,64,165,16,2,1,6,4,1193.74,20,3819.97,26-08-2024
339,229,40,145,8,2,1,3,3,1171.25,20,2811,16-08-2024
340,67,59,37,24,1,1,8,4,2890.15,20,9248.48,07-03-2024
341,51,55,45,13,2,1,4,5,2061.18,20,8244.72,20-02-2024
342,97,62,206,29,2,1,7,3,1822.34,30,3826.91,06-04-2024
343,92,4,62,32,2,1,3,1,1533.33,20,1226.66,01-04-2024
344,264,60,19,24,2,1,4,2,1967.44,20,3147.9,20-09-2024
345,291,116,300,16,2,1,8,1,3265.6,20,2612.48,17-10-2024
346,96,75,7,11,1,1,1,5,3319.29,10,14936.8,05-04-2024
347,88,95,249,32,1,1,1,3,1377.88,10,3720.28,28-03-2024
348,78,107,117,6,2,1,6,1,1109.5,20,887.6,18-03-2024
349,288,96,68,35,2,1,8,3,4390.33,20,10536.79,14-10-2024
350,120,91,34,33,1,1,7,4,1599.77,30,4479.36,29-04-2024
351,302,30,194,18,3,1,7,2,4480.38,30,6272.53,28-10-2024
352,165,107,55,37,1,1,4,5,1109.5,20,4438,13-06-2024
353,182,2,266,13,3,1,2,1,2514.33,20,2011.46,30-06-2024
354,223,62,42,10,2,1,3,2,1822.34,20,2915.74,10-08-2024
355,311,49,297,37,2,1,8,5,1153.5,20,4614,06-11-2024
356,7,9,231,26,1,1,4,5,3579.01,20,14316.04,07-01-2024
357,330,92,10,17,2,1,6,4,2380.87,20,7618.78,25-11-2024
358,263,31,128,1,3,1,8,3,2591.8,20,6220.32,19-09-2024
359,161,98,179,25,3,1,3,3,1047.84,20,2514.82,09-06-2024
360,151,61,193,34,1,1,5,2,2411.21,20,3857.94,30-05-2024
361,85,120,92,39,3,1,6,4,2937.73,20,9400.74,25-03-2024
362,147,79,231,10,1,1,4,5,3920.16,20,15680.64,26-05-2024
363,112,48,78,20,1,1,2,4,4248.06,20,13593.79,21-04-2024
364,36,25,85,7,3,1,8,4,1728.67,20,5531.74,05-02-2024
365,285,36,30,16,3,1,5,2,2090.7,20,3345.12,11-10-2024
366,188,8,213,37,3,1,6,3,2219.29,20,5326.3,06-07-2024
367,82,73,49,29,3,1,4,4,2983.91,20,9548.51,22-03-2024
368,2,58,265,12,3,1,1,4,3452.08,10,12427.49,02-01-2024
369,303,101,145,17,3,1,7,4,3578.55,30,10019.94,29-10-2024
370,197,112,69,20,3,1,4,1,1558.32,20,1246.66,15-07-2024
371,11,45,58,26,2,1,1,4,2241.67,10,8070.01,11-01-2024
372,234,62,185,19,1,1,1,4,1822.34,10,6560.42,21-08-2024
373,195,39,62,12,1,1,6,5,4429.19,20,17716.76,13-07-2024
374,119,96,296,21,3,1,4,1,4390.33,20,3512.26,28-04-2024
375,20,58,166,42,1,1,7,4,3452.08,30,9665.82,20-01-2024
