DateKey,FullDate,Year,Month,Day,DayOfWeek,Weekend,Season
148,27-05-2024,2024,5,27,Monday,No,Summer
149,28-05-2024,2024,5,28,Tuesday,No,Summer
150,29-05-2024,2024,5,29,Wednesday,No,Summer
151,30-05-2024,2024,5,30,Thursday,No,Summer
152,31-05-2024,2024,5,31,Friday,No,Summer
153,01-06-2024,2024,6,1,Saturday,Yes,Monsoon
154,02-06-2024,2024,6,2,Sunday,Yes,Monsoon
155,03-06-2024,2024,6,3,Monday,No,Monsoon
156,04-06-2024,2024,6,4,Tuesday,No,Monsoon
157,05-06-2024,2024,6,5,Wednesday,No,Monsoon
158,06-06-2024,2024,6,6,Thursday,No,Monsoon
159,07-06-2024,2024,6,7,Friday,No,Monsoon
160,08-06-2024,2024,6,8,Saturday,Yes,Monsoon
161,09-06-2024,2024,6,9,Sunday,Yes,Monsoon
162,10-06-2024,2024,6,10,Monday,No,Monsoon
163,11-06-2024,2024,6,11,Tuesday,No,Monsoon
164,12-06-2024,2024,6,12,Wednesday,No,Monsoon
165,13-06-2024,2024,6,13,Thursday,No,Monsoon
166,14-06-2024,2024,6,14,Friday,No,Monsoon
167,15-06-2024,2024,6,15,Saturday,Yes,Monsoon
168,16-06-2024,2024,6,16,Sunday,Yes,Monsoon
169,17-06-2024,2024,6,17,Monday,No,Monsoon
170,18-06-2024,2024,6,18,Tuesday,No,Monsoon
171,19-06-2024,2024,6,19,Wednesday,No,Monsoon
172,20-06-2024,2024,6,20,Thursday,No,Monsoon
173,21-06-2024,2024,6,21,Friday,No,Monsoon
174,22-06-2024,2024,6,22,Saturday,Yes,Monsoon
175,23-06-2024,2024,6,23,Sunday,Yes,Monsoon
176,24-06-2024,2024,6,24,Monday,No,Monsoon
177,25-06-2024,2024,6,25,Tuesday,No,Monsoon
178,26-06-2024,2024,6,26,Wednesday,No,Monsoon
179,27-06-2024,2024,6,27,Thursday,No,Monsoon
180,28-06-2024,2024,6,28,Friday,No,Monsoon
181,29-06-2024,2024,6,29,Saturday,Yes,Monsoon
182,30-06-2024,2024,6,30,Sunday,Yes,Monsoon
183,01-07-2024,2024,7,1,Monday,No,Monsoon
184,02-07-2024,2024,7,2,Tuesday,No,Monsoon
185,03-07-2024,2024,7,3,Wednesday,No,Monsoon
186,04-07-2024,2024,7,4,Thursday,No,Monsoon
187,05-07-2024,2024,7,5,Friday,No,Monsoon
188,06-07-2024,2024,7,6,Saturday,Yes,Monsoon
189,07-07-2024,2024,7,7,Sunday,Yes,Monsoon
190,08-07-2024,2024,7,8,Monday,No,Monsoon
191,09-07-2024,2024,7,9,Tuesday,No,Monsoon
192,10-07-2024,2024,7,10,Wednesday,No,Monsoon
193,11-07-2024,2024,7,11,Thursday,No,Monsoon
194,12-07-2024,2024,7,12,Friday,No,Monsoon
195,13-07-2024,2024,7,13,Saturday,Yes,Monsoon
196,14-07-2024,2024,7,14,Sunday,Yes,Monsoon
197,15-07-2024,2024,7,15,Monday,No,Monsoon
198,16-07-2024,2024,7,16,Tuesday,No,Monsoon
199,17-07-2024,2024,7,17,Wednesday,No,Monsoon
200,18-07-2024,2024,7,18,Thursday,No,Monsoon
201,19-07-2024,2024,7,19,Friday,No,Monsoon
202,20-07-2024,2024,7,20,Saturday,Yes,Monsoon
203,21-07-2024,2024,7,21,Sunday,Yes,Monsoon
204,22-07-2024,2024,7,22,Monday,No,Monsoon
205,23-07-2024,2024,7,23,Tuesday,No,Monsoon
206,24-07-2024,2024,7,24,Wednesday,No,Monsoon
207,25-07-2024,2024,7,25,Thursday,No,Monsoon
208,26-07-2024,2024,7,26,Friday,No,Monsoon
209,27-07-2024,2024,7,27,Saturday,Yes,Monsoon
210,28-07-2024,2024,7,28,Sunday,Yes,Monsoon
211,29-07-2024,2024,7,29,Monday,No,Monsoon
212,30-07-2024,2024,7,30,Tuesday,No,Monsoon
213,31-07-2024,2024,7,31,Wednesday,No,Monsoon
214,01-08-2024,2024,8,1,Thursday,No,Monsoon
215,02-08-2024,2024,8,2,Friday,No,Monsoon
216,03-08-2024,2024,8,3,Saturday,Yes,Monsoon
217,04-08-2024,2024,8,4,Sunday,Yes,Monsoon
218,05-08-2024,2024,8,5,Monday,No,Monsoon
219,06-08-2024,2024,8,6,Tuesday,No,Monsoon
220,07-08-2024,2024,8,7,Wednesday,No,Monsoon
221,08-08-2024,2024,8,8,Thursday,No,Monsoon
222,09-08-2024,2024,8,9,Friday,No,Monsoon
223,10-08-2024,2024,8,10,Saturday,Yes,Monsoon
224,11-08-2024,2024,8,11,Sunday,Yes,Monsoon
225,12-08-2024,2024,8,12,Monday,No,Monsoon
226,13-08-2024,2024,8,13,Tuesday,No,Monsoon
227,14-08-2024,2024,8,14,Wednesday,No,Monsoon
228,15-08-2024,2024,8,15,Thursday,No,Monsoon
229,16-08-2024,2024,8,16,Friday,No,Monsoon
230,17-08-2024,2024,8,17,Saturday,Yes,Monsoon
231,18-08-2024,2024,8,18,Sunday,Yes,Monsoon
232,19-08-2024,2024,8,19,Monday,No,Monsoon
233,20-08-2024,2024,8,20,Tuesday,No,Monsoon
234,21-08-2024,2024,8,21,Wednesday,No,Monsoon
235,22-08-2024,2024,8,22,Thursday,No,Monsoon
236,23-08-2024,2024,8,23,Friday,No,Monsoon
237,24-08-2024,2024,8,24,Saturday,Yes,Monsoon
238,25-08-2024,2024,8,25,Sunday,Yes,Monsoon
239,26-08-2024,2024,8,26,Monday,No,Monsoon
240,27-08-2024,2024,8,27,Tuesday,No,Monsoon
241,28-08-2024,2024,8,28,Wednesday,No,Monsoon
242,29-08-2024,2024,8,29,Thursday,No,Monsoon
243,30-08-2024,2024,8,30,Friday,No,Monsoon
244,31-08-2024,2024,8,31,Saturday,Yes,Monsoon
245,01-09-2024,2024,9,1,Sunday,Yes,Autumn
246,02-09-2024,2024,9,2,Monday,No,Autumn
247,03-09-2024,2024,9,3,Tuesday,No,Autumn
248,04-09-2024,2024,9,4,Wednesday,No,Autumn
249,05-09-2024,2024,9,5,Thursday,No,Autumn
250,06-09-2024,2024,9,6,Friday,No,Autumn
251,07-09-2024,2024,9,7,Saturday,Yes,Autumn
252,08-09-2024,2024,9,8,Sunday,Yes,Autumn
253,09-09-2024,2024,9,9,Monday,No,Autumn
254,10-09-2024,2024,9,10,Tuesday,No,Autumn
255,11-09-2024,2024,9,11,Wednesday,No,Autumn
256,12-09-2024,2024,9,12,Thursday,No,Autumn
257,13-09-2024,2024,9,13,Friday,No,Autumn
258,14-09-2024,2024,9,14,Saturday,Yes,Autumn
259,15-09-2024,2024,9,15,Sunday,Yes,Autumn
260,16-09-2024,2024,9,16,Monday,No,Autumn
261,17-09-2024,2024,9,17,Tuesday,No,Autumn
262,18-09-2024,2024,9,18,Wednesday,No,Autumn
263,19-09-2024,2024,9,19,Thursday,No,Autumn
264,20-09-2024,2024,9,20,Friday,No,Autumn
265,21-09-2024,2024,9,21,Saturday,Yes,Autumn
266,22-09-2024,2024,9,22,Sunday,Yes,Autumn
267,23-09-2024,2024,9,23,Monday,No,Autumn
268,24-09-2024,2024,9,24,Tuesday,No,Autumn
269,25-09-2024,2024,9,25,Wednesday,No,Autumn
270,26-09-2024,2024,9,26,Thursday,No,Autumn
271,27-09-2024,2024,9,27,Friday,No,Autumn
272,28-09-2024,2024,9,28,Saturday,Yes,Autumn
273,29-09-2024,2024,9,29,Sunday,Yes,Autumn
274,30-09-2024,2024,9,30,Monday,No,Autumn
275,01-10-2024,2024,10,1,Tuesday,No,Autumn
276,02-10-2024,2024,10,2,Wednesday,No,Autumn
277,03-10-2024,2024,10,3,Thursday,No,Autumn
278,04-10-2024,2024,10,4,Friday,No,Autumn
279,05-10-2024,2024,10,5,Saturday,Yes,Autumn
280,06-10-2024,2024,10,6,Sunday,Yes,Autumn
281,07-10-2024,2024,10,7,Monday,No,Autumn
282,08-10-2024,2024,10,8,Tuesday,No,Autumn
283,09-10-2024,2024,10,9,Wednesday,No,Autumn
284,10-10-2024,2024,10,10,Thursday,No,Autumn
285,11-10-2024,2024,10,11,Friday,No,Autumn
286,12-10-2024,2024,10,12,Saturday,Yes,Autumn
287,13-10-2024,2024,10,13,Sunday,Yes,Autumn
288,14-10-2024,2024,10,14,Monday,No,Autumn
289,15-10-2024,2024,10,15,Tuesday,No,Autumn
290,16-10-2024,2024,10,16,Wednesday,No,Autumn
291,17-10-2024,2024,10,17,Thursday,No,Autumn
292,18-10-2024,2024,10,18,Friday,No,Autumn
293,19-10-2024,2024,10,19,Saturday,Yes,Autumn
294,20-10-2024,2024,10,20,Sunday,Yes,Autumn
295,21-10-2024,2024,10,21,Monday,No,Autumn
296,22-10-2024,2024,10,22,Tuesday,No,Autumn
297,23-10-2024,2024,10,23,Wednesday,No,Autumn
298,24-10-2024,2024,10,24,Thursday,No,Autumn
299,25-10-2024,2024,10,25,Friday,No,Autumn
300,26-10-2024,2024,10,26,Saturday,Yes,Autumn
301,27-10-2024,2024,10,27,Sunday,Yes,Autumn
302,28-10-2024,2024,10,28,Monday,No,Autumn
303,29-10-2024,2024,10,29,Tuesday,No,Autumn
304,30-10-2024,2024,10,30,Wednesday,No,Autumn
305,31-10-2024,2024,10,31,Thursday,No,Autumn
306,01-11-2024,2024,11,1,Friday,No,Autumn
307,02-11-2024,2024,11,2,Saturday,Yes,Autumn
308,03-11-2024,2024,11,3,Sunday,Yes,Autumn
309,04-11-2024,2024,11,4,Monday,No,Autumn
310,05-11-2024,2024,11,5,Tuesday,No,Autumn
311,06-11-2024,2024,11,6,Wednesday,No,Autumn
312,07-11-2024,2024,11,7,Thursday,No,Autumn
313,08-11-2024,2024,11,8,Friday,No,Autumn
314,09-11-2024,2024,11,9,Saturday,Yes,Autumn
315,10-11-2024,2024,11,10,Sunday,Yes,Autumn
316,11-11-2024,2024,11,11,Monday,No,Autumn
317,12-11-2024,2024,11,12,Tuesday,No,Autumn
318,13-11-2024,2024,11,13,Wednesday,No,Autumn
319,14-11-2024,2024,11,14,Thursday,No,Autumn
320,15-11-2024,2024,11,15,Friday,No,Autumn
321,16-11-2024,2024,11,16,Saturday,Yes,Autumn
322,17-11-2024,2024,11,17,Sunday,Yes,Autumn
323,18-11-2024,2024,11,18,Monday,No,Autumn
324,19-11-2024,2024,11,19,Tuesday,No,Autumn
325,20-11-2024,2024,11,20,Wednesday,No,Autumn
326,21-11-2024,2024,11,21,Thursday,No,Autumn
327,22-11-2024,2024,11,22,Friday,No,Autumn
328,23-11-2024,2024,11,23,Saturday,Yes,Autumn
329,24-11-2024,2024,11,24,Sunday,Yes,Autumn
330,25-11-2024,2024,11,25,Monday,No,Autumn
331,26-11-2024,2024,11,26,Tuesday,No,Autumn
332,27-11-2024,2024,11,27,Wednesday,No,Autumn
333,28-11-2024,2024,11,28,Thursday,No,Autumn
334,29-11-2024,2024,11,29,Friday,No,Autumn
335,30-11-2024,2024,11,30,Saturday,Yes,Autumn
336,01-12-2024,2024,12,1,Sunday,Yes,Winter
337,02-12-2024,2024,12,2,Monday,No,Winter
338,03-12-2024,2024,12,3,Tuesday,No,Winter
339,04-12-2024,2024,12,4,Wednesday,No,Winter
340,05-12-2024,2024,12,5,Thursday,No,Winter
341,06-12-2024,2024,12,6,Friday,No,Winter
342,07-12-2024,2024,12,7,Saturday,Yes,Winter
343,08-12-2024,2024,12,8,Sunday,Yes,Winter
344,09-12-2024,2024,12,9,Monday,No,Winter
345,10-12-2024,2024,12,10,Tuesday,No,Winter
346,11-12-2024,2024,12,11,Wednesday,No,Winter
347,12-12-2024,2024,12,12,Thursday,No,Winter
348,13-12-2024,2024,12,13,Friday,No,Winter
349,14-12-2024,2024,12,14,Saturday,Yes,Winter
350,15-12-2024,2024,12,15,Sunday,Yes,Winter
351,16-12-2024,2024,12,16,Monday,No,Winter
352,17-12-2024,2024,12,17,Tuesday,No,Winter
353,18-12-2024,2024,12,18,Wednesday,No,Winter
354,19-12-2024,2024,12,19,Thursday,No,Winter
355,20-12-2024,2024,12,20,Friday,No,Winter
356,21-12-2024,2024,12,21,Saturday,Yes,Winter
357,22-12-2024,2024,12,22,Sunday,Yes,Winter
358,23-12-2024,2024,12,23,Monday,No,Winter
359,24-12-2024,2024,12,24,Tuesday,No,Winter
360,25-12-2024,2024,12,25,Wednesday,No,Winter
361,26-12-2024,2024,12,26,Thursday,No,Winter
362,27-12-2024,2024,12,27,Friday,No,Winter
363,28-12-2024,2024,12,28,Saturday,Yes,Winter
364,29-12-2024,2024,12,29,Sunday,Yes,Winter
365,30-12-2024,2024,12,30,Monday,No,Winter
