OrderKey,SessionID,DeviceType,CartAbandonFlag
2343,sess_85529,Tablet,0
2344,sess_15273,Mobile,0
2345,sess_32962,Mobile,0
2346,sess_71669,Mobile,1
2347,sess_78021,Mobile,0
2348,sess_95394,Desktop,0
2349,sess_67963,Mobile,0
2350,sess_46458,Tablet,0
2351,sess_33788,Tablet,0
2352,sess_86720,Mobile,0
2353,sess_67132,Tablet,1
2354,sess_93202,Mobile,0
2355,sess_74451,Mobile,1
2356,sess_21959,Tablet,0
2357,sess_71605,Mobile,0
2358,sess_55607,Tablet,1
2359,sess_63523,Desktop,0
2360,sess_53687,Mobile,0
2361,sess_52081,Desktop,0
2362,sess_97835,Tablet,0
2363,sess_23710,Desktop,0
2364,sess_31079,Desktop,0
2365,sess_53228,Tablet,0
2366,sess_63955,Desktop,0
2367,sess_74942,Desktop,0
2368,sess_47777,Tablet,0
2369,sess_96846,Desktop,0
2370,sess_62488,Tablet,0
2371,sess_82102,Desktop,0
2372,sess_14809,Tablet,0
2373,sess_69614,Tablet,1
2374,sess_21542,Desktop,0
2375,sess_51224,Desktop,0
2376,sess_43082,Desktop,0
2377,sess_52372,Mobile,0
2378,sess_25194,Mobile,0
2379,sess_62976,Mobile,1
2380,sess_77449,Tablet,0
2381,sess_10150,Desktop,1
2382,sess_96200,Tablet,1
2383,sess_81118,Mobile,1
2384,sess_70552,Desktop,1
2385,sess_64165,Tablet,0
2386,sess_17104,Desktop,0
2387,sess_34586,Tablet,0
2388,sess_77952,Desktop,0
2389,sess_57419,Mobile,0
2390,sess_91609,Mobile,0
2391,sess_75338,Desktop,0
2392,sess_91973,Tablet,0
2393,sess_67939,Mobile,0
2394,sess_16764,Mobile,0
2395,sess_36680,Mobile,0
2396,sess_45003,Desktop,1
2397,sess_81987,Desktop,0
2398,sess_27172,Tablet,0
2399,sess_47752,Tablet,0
2400,sess_67424,Tablet,0
2401,sess_73532,Desktop,0
2402,sess_25915,Desktop,0
2403,sess_13783,Tablet,0
2404,sess_92578,Tablet,0
2405,sess_89806,Desktop,0
2406,sess_41365,Tablet,0
2407,sess_30758,Mobile,0
2408,sess_50730,Desktop,0
2409,sess_82199,Tablet,0
2410,sess_11792,Desktop,1
2411,sess_82384,Mobile,0
2412,sess_63476,Desktop,0
2413,sess_22217,Desktop,0
2414,sess_39451,Desktop,0
2415,sess_24871,Desktop,0
2416,sess_70482,Mobile,0
2417,sess_25396,Desktop,1
2418,sess_94896,Desktop,0
2419,sess_30181,Tablet,0
2420,sess_75323,Desktop,0
2421,sess_48254,Tablet,0
2422,sess_76698,Mobile,0
2423,sess_45838,Mobile,0
2424,sess_64459,Mobile,1
2425,sess_73242,Mobile,0
2426,sess_71894,Tablet,0
2427,sess_41946,Desktop,1
2428,sess_69871,Mobile,0
2429,sess_82255,Desktop,1
2430,sess_28958,Tablet,0
2431,sess_60277,Tablet,1
2432,sess_34983,Tablet,0
2433,sess_88561,Mobile,1
2434,sess_76616,Desktop,1
2435,sess_27892,Desktop,0
2436,sess_19150,Desktop,1
2437,sess_46208,Tablet,0
2438,sess_64387,Mobile,0
2439,sess_54548,Tablet,0
2440,sess_76550,Tablet,0
2441,sess_45018,Desktop,0
2442,sess_10336,Tablet,0
2443,sess_47072,Desktop,0
2444,sess_49132,Mobile,1
2445,sess_86931,Desktop,1
2446,sess_86011,Mobile,0
2447,sess_96499,Desktop,0
2448,sess_74178,Tablet,0
2449,sess_29476,Tablet,0
2450,sess_68529,Mobile,0
2451,sess_80592,Mobile,0
2452,sess_73483,Mobile,0
2453,sess_55236,Desktop,1
2454,sess_53573,Desktop,0
2455,sess_82340,Mobile,0
2456,sess_81228,Tablet,0
2457,sess_59441,Desktop,0
2458,sess_69682,Desktop,0
2459,sess_52176,Desktop,0
2460,sess_34727,Mobile,0
2461,sess_41300,Mobile,0
2462,sess_84946,Mobile,1
2463,sess_60196,Mobile,1
2464,sess_40613,Mobile,0
2465,sess_63841,Tablet,0
2466,sess_15720,Tablet,0
2467,sess_51704,Mobile,0
2468,sess_71993,Desktop,0
2469,sess_59968,Mobile,0
2470,sess_60604,Tablet,0
2471,sess_96991,Tablet,0
2472,sess_95461,Desktop,0
2473,sess_29936,Tablet,1
2474,sess_74923,Mobile,1
2475,sess_14852,Desktop,0
2476,sess_26547,Mobile,0
2477,sess_75836,Mobile,1
2478,sess_87356,Desktop,0
2479,sess_53515,Mobile,1
2480,sess_23154,Tablet,0
2481,sess_67711,Mobile,1
2482,sess_23069,Desktop,0
2483,sess_78937,Desktop,1
2484,sess_69890,Desktop,1
2485,sess_12011,Mobile,0
2486,sess_28894,Desktop,0
2487,sess_63736,Desktop,1
2488,sess_95823,Mobile,0
2489,sess_30232,Tablet,1
2490,sess_19807,Mobile,0
2491,sess_71537,Desktop,0
2492,sess_44737,Desktop,0
2493,sess_54375,Mobile,0
2494,sess_91691,Tablet,1
2495,sess_62098,Desktop,0
2496,sess_95175,Desktop,0
2497,sess_20527,Desktop,0
2498,sess_53065,Mobile,0
2499,sess_98389,Desktop,1
2500,sess_79942,Tablet,1
2501,sess_59808,Desktop,0
2502,sess_51505,Desktop,1
2503,sess_92155,Tablet,1
2504,sess_73956,Desktop,0
2505,sess_80912,Mobile,1
2506,sess_14705,Mobile,0
2507,sess_90931,Mobile,0
2508,sess_18968,Tablet,1
2509,sess_40771,Desktop,0
2510,sess_92727,Mobile,1
2511,sess_99705,Tablet,1
2512,sess_47667,Desktop,0
2513,sess_39817,Tablet,1
2514,sess_21846,Mobile,0
2515,sess_66881,Mobile,0
2516,sess_22903,Mobile,0
2517,sess_93066,Tablet,1
2518,sess_23173,Tablet,0
2519,sess_68153,Mobile,0
2520,sess_31805,Tablet,0
2521,sess_49251,Mobile,0
2522,sess_13794,Mobile,0
2523,sess_16028,Desktop,0
2524,sess_52516,Tablet,0
2525,sess_17355,Mobile,0
2526,sess_48452,Mobile,1
2527,sess_56984,Tablet,0
2528,sess_59131,Desktop,0
2529,sess_66450,Desktop,1
2530,sess_29080,Mobile,0
2531,sess_42007,Tablet,1
2532,sess_79621,Desktop,0
2533,sess_64008,Tablet,1
2534,sess_84177,Tablet,0
2535,sess_99364,Mobile,0
2536,sess_33600,Desktop,0
2537,sess_32280,Mobile,1
2538,sess_32946,Desktop,0
2539,sess_20350,Desktop,0
2540,sess_89887,Desktop,1
2541,sess_60140,Desktop,1
2542,sess_91226,Desktop,0
2543,sess_99539,Tablet,1
2544,sess_41566,Mobile,1
2545,sess_75230,Tablet,0
2546,sess_86435,Desktop,0
2547,sess_28758,Mobile,0
2548,sess_40433,Desktop,0
2549,sess_70443,Mobile,0
2550,sess_93611,Tablet,0
2551,sess_43289,Mobile,0
2552,sess_70236,Mobile,0
2553,sess_43466,Mobile,0
2554,sess_97404,Mobile,1
2555,sess_11231,Mobile,1
2556,sess_70981,Desktop,0
2557,sess_47700,Mobile,1
2558,sess_98815,Mobile,0
2559,sess_81643,Tablet,0
2560,sess_30706,Mobile,0
2561,sess_19681,Tablet,0
2562,sess_67898,Desktop,1
2563,sess_55293,Mobile,0
2564,sess_87014,Tablet,0
2565,sess_49210,Tablet,0
2566,sess_93746,Desktop,0
2567,sess_65615,Mobile,0
2568,sess_42780,Mobile,0
2569,sess_69878,Tablet,0
2570,sess_49599,Mobile,1
2571,sess_36111,Tablet,1
2572,sess_60422,Mobile,0
2573,sess_73335,Tablet,1
2574,sess_23979,Mobile,0
2575,sess_41091,Desktop,0
2576,sess_59986,Mobile,0
2577,sess_84963,Mobile,0
2578,sess_57049,Desktop,1
2579,sess_85341,Mobile,0
2580,sess_48780,Desktop,0
2581,sess_48696,Mobile,0
2582,sess_12875,Tablet,0
2583,sess_96275,Tablet,1
2584,sess_61879,Mobile,0
2585,sess_45976,Mobile,0
2586,sess_11061,Mobile,0
2587,sess_84177,Tablet,0
2588,sess_99889,Mobile,0
2589,sess_16428,Tablet,0
2590,sess_89482,Desktop,0
2591,sess_75107,Tablet,0
2592,sess_47512,Tablet,1
2593,sess_40162,Desktop,1
2594,sess_89569,Tablet,0
2595,sess_56179,Mobile,0
2596,sess_38705,Mobile,0
2597,sess_93442,Tablet,1
2598,sess_34920,Mobile,0
2599,sess_91381,Tablet,0
2600,sess_42850,Mobile,0
2601,sess_98835,Mobile,0
2602,sess_96400,Tablet,0
2603,sess_99241,Mobile,0
2604,sess_27927,Tablet,0
2605,sess_92345,Mobile,0
2606,sess_22735,Mobile,0
2607,sess_92242,Desktop,0
2608,sess_94717,Desktop,0
2609,sess_15167,Tablet,0
2610,sess_50492,Desktop,0
2611,sess_67779,Tablet,0
2612,sess_14373,Desktop,1
2613,sess_85965,Mobile,0
2614,sess_57823,Tablet,0
2615,sess_27224,Tablet,0
2616,sess_21813,Mobile,0
2617,sess_48680,Tablet,0
2618,sess_52823,Tablet,0
2619,sess_64460,Desktop,0
2620,sess_33021,Tablet,1
2621,sess_36318,Mobile,0
2622,sess_27322,Desktop,1
2623,sess_80701,Desktop,1
2624,sess_57953,Mobile,0
2625,sess_79579,Mobile,1
2626,sess_75771,Desktop,0
2627,sess_45720,Tablet,1
2628,sess_31567,Desktop,0
2629,sess_43681,Mobile,0
2630,sess_73156,Desktop,0
2631,sess_48684,Mobile,0
2632,sess_54396,Desktop,0
2633,sess_25095,Tablet,0
2634,sess_71385,Desktop,0
2635,sess_19869,Desktop,0
2636,sess_28449,Mobile,0
2637,sess_39571,Mobile,0
2638,sess_98647,Mobile,1
2639,sess_98395,Desktop,1
2640,sess_62089,Tablet,1
2641,sess_83048,Mobile,0
2642,sess_57942,Mobile,0
2643,sess_21836,Desktop,0
2644,sess_61717,Mobile,1
2645,sess_11824,Tablet,0
2646,sess_44663,Tablet,0
2647,sess_80329,Mobile,0
2648,sess_26199,Mobile,1
2649,sess_69609,Desktop,0
2650,sess_58311,Tablet,0
2651,sess_98188,Tablet,0
2652,sess_98125,Mobile,0
2653,sess_44362,Desktop,0
2654,sess_86619,Tablet,0
2655,sess_59941,Tablet,0
2656,sess_93695,Desktop,1
2657,sess_58689,Desktop,0
2658,sess_24201,Tablet,1
2659,sess_98452,Tablet,1
2660,sess_40647,Desktop,0
2661,sess_71797,Tablet,0
2662,sess_13280,Mobile,0
2663,sess_91205,Mobile,1
2664,sess_83584,Desktop,0
2665,sess_52992,Desktop,0
2666,sess_89964,Desktop,0
2667,sess_39015,Mobile,0
2668,sess_94889,Tablet,0
2669,sess_18285,Mobile,0
2670,sess_93283,Tablet,0
2671,sess_70852,Mobile,0
2672,sess_49608,Tablet,0
2673,sess_95097,Mobile,0
2674,sess_63516,Desktop,0
2675,sess_25292,Mobile,0
2676,sess_28320,Tablet,1
2677,sess_15943,Mobile,0
2678,sess_14877,Mobile,0
2679,sess_49893,Mobile,0
2680,sess_74569,Desktop,0
2681,sess_25220,Mobile,0
2682,sess_22739,Desktop,0
2683,sess_40775,Desktop,1
2684,sess_80457,Mobile,0
2685,sess_27781,Mobile,0
2686,sess_60940,Mobile,0
2687,sess_69459,Tablet,0
2688,sess_58629,Mobile,0
2689,sess_97881,Desktop,0
2690,sess_80804,Mobile,0
2691,sess_64935,Tablet,0
2692,sess_86983,Mobile,0
2693,sess_30253,Tablet,0
2694,sess_64379,Tablet,0
2695,sess_95841,Mobile,0
2696,sess_22978,Desktop,1
2697,sess_74139,Tablet,0
2698,sess_90694,Mobile,0
2699,sess_63492,Mobile,0
2700,sess_46666,Desktop,1
2701,sess_14288,Tablet,1
2702,sess_58566,Tablet,0
2703,sess_38477,Mobile,1
2704,sess_68115,Mobile,0
2705,sess_68287,Desktop,0
2706,sess_40947,Desktop,1
2707,sess_57537,Tablet,1
2708,sess_23022,Tablet,0
2709,sess_99873,Mobile,0
2710,sess_58147,Tablet,0
2711,sess_81364,Desktop,0
2712,sess_94518,Desktop,1
2713,sess_57012,Mobile,0
2714,sess_17936,Desktop,0
2715,sess_62184,Desktop,0
2716,sess_46160,Desktop,0
2717,sess_34878,Desktop,0
2718,sess_26011,Mobile,0
2719,sess_69600,Mobile,1
2720,sess_22015,Tablet,1
2721,sess_96870,Desktop,0
2722,sess_37801,Tablet,1
2723,sess_94109,Mobile,1
2724,sess_93819,Mobile,1
2725,sess_88269,Mobile,0
2726,sess_12799,Mobile,0
2727,sess_16629,Mobile,0
2728,sess_53713,Mobile,0
2729,sess_41925,Mobile,0
2730,sess_26505,Desktop,0
2731,sess_84000,Tablet,0
2732,sess_36896,Mobile,0
2733,sess_18992,Desktop,0
2734,sess_82641,Desktop,0
2735,sess_37152,Tablet,1
2736,sess_86858,Mobile,1
2737,sess_38305,Tablet,1
2738,sess_40539,Mobile,1
2739,sess_53064,Desktop,0
2740,sess_29340,Desktop,1
2741,sess_88116,Desktop,0
2742,sess_10371,Desktop,0
2743,sess_46342,Tablet,0
2744,sess_28964,Mobile,0
2745,sess_27038,Mobile,0
2746,sess_80807,Tablet,0
2747,sess_42853,Mobile,1
2748,sess_32871,Desktop,0
2749,sess_24408,Mobile,0
2750,sess_96646,Desktop,1
2751,sess_13379,Tablet,0
2752,sess_27275,Mobile,0
2753,sess_11947,Tablet,0
2754,sess_56955,Mobile,0
2755,sess_41186,Desktop,0
2756,sess_87182,Tablet,1
2757,sess_52437,Mobile,0
2758,sess_12068,Desktop,0
2759,sess_32838,Tablet,1
2760,sess_44782,Tablet,0
2761,sess_16868,Mobile,0
2762,sess_26614,Mobile,0
2763,sess_65176,Mobile,0
2764,sess_78955,Desktop,0
2765,sess_24896,Mobile,0
2766,sess_18330,Tablet,0
2767,sess_72422,Tablet,1
2768,sess_68756,Mobile,0
2769,sess_57453,Mobile,0
2770,sess_77271,Tablet,0
2771,sess_87812,Desktop,0
2772,sess_24293,Mobile,0
2773,sess_69245,Mobile,0
2774,sess_76039,Tablet,1
2775,sess_39038,Mobile,0
2776,sess_90623,Desktop,0
2777,sess_15683,Tablet,0
2778,sess_96363,Mobile,0
2779,sess_78347,Tablet,0
2780,sess_49535,Mobile,0
2781,sess_70036,Mobile,0
2782,sess_94323,Mobile,0
2783,sess_14082,Desktop,1
2784,sess_17972,Desktop,1
2785,sess_72781,Tablet,1
2786,sess_62640,Mobile,1
2787,sess_65872,Mobile,0
2788,sess_99928,Desktop,1
2789,sess_24150,Mobile,0
2790,sess_74260,Desktop,1
2791,sess_68138,Mobile,1
2792,sess_19632,Tablet,0
2793,sess_20589,Mobile,1
2794,sess_52219,Mobile,0
2795,sess_89730,Desktop,0
2796,sess_29442,Mobile,0
2797,sess_18609,Mobile,0
2798,sess_26540,Desktop,0
2799,sess_46046,Tablet,0
2800,sess_91830,Tablet,1
2801,sess_92978,Desktop,0
2802,sess_86724,Desktop,1
2803,sess_81874,Desktop,1
2804,sess_52622,Desktop,1
2805,sess_59925,Desktop,1
2806,sess_88301,Tablet,0
2807,sess_79541,Tablet,1
2808,sess_48652,Desktop,1
2809,sess_69469,Mobile,0
2810,sess_76263,Desktop,0
2811,sess_89354,Mobile,0
2812,sess_66387,Desktop,0
2813,sess_22999,Desktop,0
2814,sess_24996,Tablet,0
2815,sess_95814,Mobile,0
2816,sess_95316,Mobile,0
2817,sess_82264,Tablet,1
2818,sess_38183,Tablet,0
2819,sess_66370,Tablet,0
2820,sess_69186,Tablet,0
2821,sess_39949,Mobile,0
2822,sess_64239,Mobile,1
2823,sess_54424,Desktop,0
2824,sess_69441,Desktop,0
2825,sess_62262,Tablet,0
2826,sess_64524,Tablet,0
2827,sess_22463,Tablet,1
2828,sess_50966,Desktop,0
2829,sess_65936,Desktop,0
2830,sess_50963,Desktop,0
2831,sess_97177,Desktop,0
2832,sess_43408,Desktop,0
2833,sess_59060,Desktop,0
2834,sess_30006,Desktop,0
2835,sess_72163,Tablet,0
2836,sess_18799,Tablet,0
2837,sess_21957,Tablet,1
2838,sess_21188,Tablet,1
2839,sess_22219,Desktop,0
2840,sess_66606,Mobile,1
2841,sess_22656,Desktop,0
2842,sess_58843,Mobile,0
2843,sess_27054,Tablet,1
2844,sess_82924,Desktop,1
2845,sess_17861,Tablet,1
2846,sess_86869,Desktop,0
2847,sess_83608,Tablet,0
2848,sess_83620,Mobile,1
2849,sess_53207,Mobile,0
2850,sess_97819,Mobile,0
2851,sess_26021,Desktop,0
2852,sess_63845,Mobile,0
2853,sess_56346,Desktop,0
2854,sess_97207,Mobile,0
2855,sess_65435,Mobile,1
2856,sess_16743,Desktop,0
2857,sess_47700,Desktop,0
2858,sess_88696,Mobile,0
2859,sess_50953,Desktop,0
2860,sess_56090,Mobile,0
2861,sess_23579,Desktop,0
2862,sess_85748,Tablet,1
2863,sess_76507,Tablet,0
2864,sess_37884,Tablet,1
2865,sess_30280,Tablet,0
2866,sess_96079,Tablet,0
2867,sess_73201,Mobile,0
2868,sess_39392,Tablet,0
2869,sess_24184,Tablet,1
2870,sess_55890,Tablet,0
2871,sess_82910,Tablet,0
