ProductKey	StoreKey	StockQty	ReorderLevel
179	3	46	21
180	4	81	58
181	1	56	21
182	2	229	37
183	3	14	50
184	4	135	42
185	1	196	57
186	2	59	30
187	3	25	35
188	4	168	35
189	1	68	54
190	2	208	23
191	3	195	34
192	4	147	44
193	1	90	31
194	2	45	35
195	3	151	40
196	4	206	42
197	1	233	57
198	2	7	42
199	3	242	56
200	4	144	29
101	1	144	32
102	2	214	51
103	3	138	39
104	4	44	51
105	1	9	25
106	2	14	34
107	3	154	34
108	4	5	53
109	1	122	20
110	2	84	59
111	3	51	28
112	4	87	31
113	1	235	40
114	2	15	21
115	3	37	57
116	4	180	29
117	1	198	27
118	2	216	53
119	3	220	43
120	4	245	24
121	1	95	45
122	2	150	26
123	3	86	39
124	4	82	28
125	1	249	30
126	2	187	47
127	3	202	60
128	4	245	51
129	1	166	40
130	2	44	55
131	3	177	59
132	4	201	42
133	1	57	57
134	2	208	31
135	3	96	39
136	4	187	38
137	1	32	31
138	2	186	20
139	3	242	56
140	4	100	56
141	1	8	31
142	2	154	40
143	3	235	59
144	4	56	60
145	1	144	26
146	2	239	51
147	3	36	41
148	4	190	24
149	1	60	42
150	2	81	30
151	3	162	25
152	4	210	60
153	1	186	41
154	2	114	20
155	3	67	33
156	4	63	24
157	1	89	36
158	2	201	26
159	3	184	20
160	4	12	44
161	1	112	46
162	2	248	30
163	3	226	46
164	4	126	44
165	1	89	54
166	2	96	26
167	3	212	50
168	4	201	56
169	1	166	34
170	2	41	48
171	3	18	22
172	4	75	21
173	1	81	36
174	2	243	26
175	3	18	41
176	4	43	44
177	1	41	24
178	2	140	25
179	3	86	58
180	4	157	50
181	1	180	21
182	2	110	30
183	3	155	47
184	4	40	23
185	1	25	41
186	2	52	32
187	3	104	55
188	4	184	54
189	1	67	38
190	2	76	35
191	3	24	23
192	4	100	56
193	1	140	51
194	2	39	23
195	3	92	20
196	4	109	25
197	1	75	60
198	2	153	50
199	3	51	26
200	4	6	33
101	1	43	60
102	2	74	25
103	3	121	27
104	4	78	45
105	1	120	51
106	2	229	36
107	3	23	54
108	4	99	31
109	1	94	44
110	2	94	31
111	3	114	22
112	4	67	48
113	1	119	36
114	2	57	37
115	3	144	23
116	4	38	26
117	1	21	42
118	2	206	54
119	3	105	57
120	4	58	55
121	1	15	44
122	2	209	53
123	3	107	54
124	4	175	50
125	1	146	35
126	2	121	39
127	3	20	45
128	4	231	22
129	1	128	56
130	2	230	53
131	3	204	56
132	4	173	59
133	1	37	27
134	2	243	48
135	3	44	30
136	4	248	33
137	1	206	32
138	2	32	22
139	3	108	25
140	4	174	47
141	1	51	60
142	2	37	58
143	3	66	40
144	4	233	24
145	1	22	44
146	2	142	45
147	3	141	40
148	4	219	37
149	1	133	49
150	2	234	20
151	3	201	59
152	4	150	53
153	1	200	46
154	2	28	46
155	3	38	29
156	4	145	57
157	1	149	26
158	2	236	26
159	3	144	26
160	4	201	38
161	1	222	54
162	2	225	42
163	3	224	46
164	4	67	44
165	1	167	51
166	2	146	58
167	3	121	22
168	4	44	37
169	1	103	29
170	2	158	58
171	3	174	45
172	4	9	45
173	1	227	41
174	2	176	35
175	3	12	50
176	4	235	37
177	1	229	43
178	2	5	41
179	3	209	39
180	4	79	37
181	1	215	51
182	2	219	26
183	3	248	34
184	4	34	39
185	1	249	48
186	2	198	40
187	3	68	46
188	4	154	25
189	1	48	48
190	2	54	46
191	3	189	51
192	4	194	53
193	1	222	43
194	2	210	23
195	3	131	30
196	4	16	39
197	1	181	52
198	2	103	28
199	3	199	53
200	4	225	56
